rule_id,compliance_id,jurisdiction_id,authority_id,governing_law,form_code,applicability_text,turnover_basis,employee_basis,effective_from,effective_to,tax_period,frequency,deadline_text,deadline_json,exceptions_text,verification_status,automation_enabled,checked_on,compliance_name,department_id,obligation_kind,scope_level,trigger_types,entity_types,documents,application_url,filing_mode,physical_submission,applicant_visit,inspection,process_notes,source_urls
C011-V1,C011,IN,AUTH-GST,"CGST Rules, Rule 48(4)",,B2B GST-registered suppliers,"Aggregate turnover exceeding INR 50000000 in a relevant preceding FY since 2017-18, subject to exempt supplier classes and covered documents.",N/A,,,,"Real-time, per transaction",Generate IRN within the applicable invoice requirements; AATO >= INR 100000000 has a 30-day portal reporting restriction from 1 April 2025. This is not permission to issue a required e-invoice without an IRN.,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,E-Invoicing (IRN Generation),GST,mandatory_if_applicable,central,turnover,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,Invoice data via API/offline tool to Invoice Registration Portal,https://einvoice6.gst.gov.in/,online,unverified,unverified,unverified,IRP route; supplier/document exemptions require checking.,https://einvoice6.gst.gov.in/content/e-invoice-exemption-declaration-functionality-made-available/|https://einvoice6.gst.gov.in/content/revised-time-limit-for-e-invoice-reporting-for-businesses-with-aato-of-%E2%82%B910-crores-above/
C012-V1,C012,IN,AUTH-GST,"CGST Rules, Rule 19",,GST registered entities,N/A,N/A,,,,Event-based,Within 15 days of change,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14,GST Registration Amendment / Additional Place of Business (APOB),GST,mandatory_if_applicable,central,location,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,"Address proof of new location, board resolution (companies)",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
C013-V1,C013,IN,AUTH-GST,"CGST Rules, Rule 96A",RFD-11,Exporters (goods/services) wanting to export without IGST payment,N/A,N/A,,,,Annual,Before start of financial year,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14,LUT for Exports (RFD-11),GST,mandatory_if_applicable,central,industry,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,"Self-declaration, authorized signatory KYC",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
C014-V1,C014,IN,AUTH-GST,"CGST Rules, Rule 138",,BIZ,N/A,N/A,,,,Per transaction,"Before movement of goods >Rs50,000 value","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14,E-Way Bill,GST,mandatory_if_applicable,central,transaction,sole_proprietor|partnership|llp|private_company|public_company|trust|society|section8|other,"Invoice/delivery challan, transporter/vehicle details",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
C015-V1,C015,IN,AUTH-MCA,Companies Act 2013,,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time,Before incorporation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,Name Reservation (Part A of SPICe+ / RUN),MCA,mandatory_if_applicable,central,director_partner,private_company|public_company,"Proposed name(s), significance of name",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C016-V1,C016,IN,AUTH-MCA,Companies Act 2013,,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time,N/A,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,Company Incorporation (SPICe+ Part B + AGILE-PRO-S),MCA,mandatory_if_applicable,central,director_partner,private_company|public_company,"MOA, AOA, director/subscriber KYC, DSC, registered office proof, NOC from owner",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C017-V1,C017,IN,AUTH-MCA,"Companies Act 2013, Sec 10A",INC-20A,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time,Within 180 days of incorporation (companies with share capital),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,INC-20A (Commencement of Business),MCA,mandatory_if_applicable,central,date,private_company|public_company,Bank statement showing subscription money received,https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C018-V1,C018,IN,AUTH-MCA,"Companies Act 2013, Sec 173",,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time then ongoing,Within 30 days of incorporation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14,First Board Meeting & Statutory Registers,MCA,mandatory_if_applicable,central,date,private_company|public_company,"Board minutes, attendance register",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
C019-V1,C019,IN,AUTH-MCA,"Companies Act 2013, Sec 139",ADT-1,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based (post-AGM),Within 15 days of AGM (first auditor: 30 days of incorporation by board),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,ADT-1 (Auditor Appointment),MCA,mandatory_if_applicable,central,director_partner,private_company|public_company,"Auditor consent letter, eligibility certificate",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C020-V1,C020,IN,AUTH-MCA,"Companies Act 2013, Sec 137",AOC-4 (variant depends on company),"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,"Section 137: ordinarily within 30 days of AGM; special handling for no AGM, unadopted accounts and OPC. Determine actual due date from applicable company facts.","{""type"": ""event_offset"", ""event"": ""agm_date"", ""days"": 30, ""exception_review"": [""OPC"", ""AGM_not_held"", ""unadopted_accounts""], ""source_id"": ""MCA_ACT"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,AOC-4 (Financial Statements),MCA,mandatory_if_applicable,central,date,private_company|public_company,"Board's report, auditor's report, financial statements, AOC-2",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/|https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf
C021-V1,C021,IN,AUTH-MCA,"Companies Act 2013, Sec 92",MGT-7 / MGT-7A,"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,"Within 60 days of AGM or the date it should have been held, as applicable; exemptions/special entity rules require checking.","{""type"": ""event_offset"", ""event"": ""agm_or_statutory_last_date"", ""days"": 60, ""exception_review"": [""OPC"", ""other_exemptions""], ""source_id"": ""MCA_ACT"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Select MGT-7A only where OPC/small-company rules apply. From 1 December 2025, small-company prescribed capital and turnover limits are INR 10 crore and INR 100 crore; statutory exclusions still apply, including public, holding/subsidiary and Section 8 companies.",researched_partial,0,2026-09-14,MGT-7 / MGT-7A (Annual Return),MCA,mandatory_if_applicable,central,date,private_company|public_company,"Shareholding pattern, director details, board meeting record, indebtedness",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/|https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://www.pib.gov.in/PressReleasePage.aspx?PRID=2204766&lang=1&reg=3
C022-V1,C022,IN,AUTH-MCA,"Companies Act 2013, Sec 96",,"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,Within 6 months of FY end (max 9 months for 1st AGM); by 30 Sept for March year-end,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14,Annual General Meeting (AGM),MCA,mandatory_if_applicable,central,date,private_company|public_company,"Notice, agenda, financial statements to be tabled",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
C023-V1,C023,IN,AUTH-MCA,"Companies Act 2013, Rule 12A",DIR-3-KYC-Web / current Rule 12A form,"Private Ltd, Public Ltd directors, LLP designated partners",N/A,N/A,2026-03-31,,,three_year_cycle_plus_event_updates,From 31 March 2026: new three-year KYC framework. Directors with KYC already completed as described in the announcement next file by 30 June 2028. Determine first-filing and changed-details requirements from current Rule 12A.,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,Director DIN KYC / particulars update,MCA,mandatory_if_applicable,central,director_partner,llp|private_company|public_company,"PAN, Aadhaar, mobile/email OTP verification, DSC",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/|https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210552&lang=2&reg=48
C024-V1,C024,IN,AUTH-MCA,"Companies Act 2013, Rule 16",DPT-3,"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,30 June (for position as on 31 March),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,DPT-3 (Return of Deposits),MCA,mandatory_if_applicable,central,date,private_company|public_company,"Auditor certificate, deposit/loan details",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C025-V1,C025,IN,AUTH-MCA,"Companies Act 2013, Sec 405",MSME-1,"Private Ltd, Public Ltd",N/A,N/A,,,,Half-yearly,30 April (Oct-Mar) and 31 October (Apr-Sep),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,MSME-1 (Outstanding Dues to MSME Suppliers),MCA,mandatory_if_applicable,central,date,private_company|public_company,"MSME vendor ledger, dues outstanding beyond 45 days",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C026-V1,C026,IN,AUTH-MCA,"Companies Act 2013, Sec 77",CHG-1,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days of charge creation (condonation up to 60 days with fee),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,CHG-1 (Creation/Modification of Charge),MCA,mandatory_if_applicable,central,transaction,private_company|public_company,"Loan/charge agreement, instrument creating charge",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C027-V1,C027,IN,AUTH-MCA,"Companies Act 2013, Sec 39",PAS-3,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days of share allotment (e.g. equity funding round),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,PAS-3 (Return of Allotment),MCA,mandatory_if_applicable,central,transaction,private_company|public_company,"Board resolution, list of allottees, valuation report (if applicable)",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C028-V1,C028,IN,AUTH-MCA,"Companies Act 2013, Sec 170",DIR-12,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days of appointment/resignation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,DIR-12 (Director Appointment/Cessation),MCA,mandatory_if_applicable,central,director_partner,private_company|public_company,"Board resolution, consent (DIR-2), resignation letter",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C029-V1,C029,IN,AUTH-MCA,"Companies Act 2013, Sec 12",INC-22,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days (15 days if within same city),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,INC-22 (Change of Registered Office),MCA,mandatory_if_applicable,central,location,private_company|public_company,"New premises proof, NOC/rent agreement, utility bill",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C030-V1,C030,IN,AUTH-AUDIT,"Companies Act 2013, Sec 139-143",,"Private Ltd, Public Ltd",Company statutory audit is not conditional on a minimum turnover; company-specific exemptions and auditor rules still require checking.,N/A,,,,Annual,Before AGM (audited financials needed for AOC-4),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,Statutory Financial Audit,AUDIT,mandatory_if_applicable,central,date,private_company|public_company,"Books of accounts, vouchers, bank statements, confirmations",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf
C031-V1,C031,IN,AUTH-AUDIT,"Companies Act 2013, Sec 204",,Public Ltd (paid-up capital >=Rs50Cr or turnover >=Rs250Cr) & listed companies,Turnover >=Rs250Cr (Public Ltd),N/A,,,,Annual,Annexed to Board's Report before AGM,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14,Secretarial Audit (MR-3),AUDIT,mandatory_if_applicable,central,turnover,public_company,"Statutory registers, filings record, minutes",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
C032-V1,C032,IN,AUTH-LLP,LLP Act 2008,,LLP,N/A,N/A,,,,One-time,N/A,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,LLP Incorporation (FiLLiP),LLP,mandatory_if_applicable,central,director_partner,llp,"Partner KYC, DPIN/DIN, LLP agreement, registered office proof",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C033-V1,C033,IN,AUTH-LLP,"LLP Act 2008, Sec 35",LLP-11,LLP,N/A,N/A,,,,Annual,30 May (60 days from FY end),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,LLP Form 11 (Annual Return),LLP,mandatory_if_applicable,central,date,llp,"Partner details, contribution summary, changes during year",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/
C034-V1,C034,IN,AUTH-LLP,"LLP Act 2008, Sec 34",LLP-8,LLP,N/A,N/A,,,,Annual,Within 30 days after the end of six months from financial-year close; ordinarily 30 October for a 31 March close. Check first-FY and notified extension rules.,"{""type"": ""year_end_offset_then_days"", ""month_offset"": 6, ""days"": 30, ""period_basis"": ""financial_year_end"", ""source_id"": ""LLP_8"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,LLP Form 8 (Statement of Account & Solvency),LLP,mandatory_if_applicable,central,date,llp,"Balance sheet, P&L summary, solvency declaration, MSME creditor disclosure",https://www.mca.gov.in/,online,unverified,unverified,unverified,"MCA21 electronic filing route. DSC, execution, foreign-document notarisation/apostille and hearing requirements depend on form and applicant; not verified here.",https://mca.gov.in/|https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_LLP%20Form%20No.%208.pdf
C035-V1,C035,IN,AUTH-INCOME_TAX,Income Tax Act 1961,ITR-5,LLP,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,31 July (non-audit); 31 Oct (audit cases),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14,LLP ITR-5,INCOME_TAX,mandatory_if_applicable,central,date,llp,"Financial statements, partner remuneration/interest details",https://www.incometax.gov.in/,online,unverified,unverified,unverified,"Electronic services available; exact form, signatures and alternative filing routes require applicant/period review.",https://www.incometaxindia.gov.in/documents/d/guest/press-release-income-tax-act-2025-comes-into-force-from-01-april-2026-pdf
C036-V1,C036,IN,AUTH-NGO,Indian Partnership Act 1932,,Partnership Firm,N/A,N/A,,,,One-time (optional but strongly recommended),Anytime after firm formation,"{""type"": ""manual_review""}",State amendments and consequences of non-registration must be evaluated; do not automatically treat registration as uniformly compulsory or unnecessary.,imported_unverified,0,2026-09-14,Partnership Firm Registration,MCA,conditional_registration_or_legal_effect,state_framework,director_partner,partnership,"Partnership deed, PAN, address proof, partner ID proof",,unverified,unverified,unverified,unverified,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",
