rule_entity_id,rule_id,entity_type_id,mapping_status
C006-V1-sole_proprietor,C006-V1,sole_proprietor,candidate_filter_not_final_eligibility
C006-V1-partnership,C006-V1,partnership,candidate_filter_not_final_eligibility
C006-V1-llp,C006-V1,llp,candidate_filter_not_final_eligibility
C006-V1-private_company,C006-V1,private_company,candidate_filter_not_final_eligibility
C006-V1-public_company,C006-V1,public_company,candidate_filter_not_final_eligibility
C006-V1-trust,C006-V1,trust,candidate_filter_not_final_eligibility
C006-V1-society,C006-V1,society,candidate_filter_not_final_eligibility
C006-V1-section8,C006-V1,section8,candidate_filter_not_final_eligibility
C006-V1-other,C006-V1,other,candidate_filter_not_final_eligibility
C007-V1-sole_proprietor,C007-V1,sole_proprietor,candidate_filter_not_final_eligibility
C007-V1-partnership,C007-V1,partnership,candidate_filter_not_final_eligibility
C007-V1-llp,C007-V1,llp,candidate_filter_not_final_eligibility
C007-V1-private_company,C007-V1,private_company,candidate_filter_not_final_eligibility
C007-V1-public_company,C007-V1,public_company,candidate_filter_not_final_eligibility
C007-V1-trust,C007-V1,trust,candidate_filter_not_final_eligibility
C007-V1-society,C007-V1,society,candidate_filter_not_final_eligibility
C007-V1-section8,C007-V1,section8,candidate_filter_not_final_eligibility
C007-V1-other,C007-V1,other,candidate_filter_not_final_eligibility
C008-V1-sole_proprietor,C008-V1,sole_proprietor,candidate_filter_not_final_eligibility
C008-V1-partnership,C008-V1,partnership,candidate_filter_not_final_eligibility
C008-V1-llp,C008-V1,llp,candidate_filter_not_final_eligibility
C008-V1-private_company,C008-V1,private_company,candidate_filter_not_final_eligibility
C008-V1-public_company,C008-V1,public_company,candidate_filter_not_final_eligibility
C008-V1-trust,C008-V1,trust,candidate_filter_not_final_eligibility
C008-V1-society,C008-V1,society,candidate_filter_not_final_eligibility
C008-V1-section8,C008-V1,section8,candidate_filter_not_final_eligibility
C008-V1-other,C008-V1,other,candidate_filter_not_final_eligibility
C009-V1-sole_proprietor,C009-V1,sole_proprietor,candidate_filter_not_final_eligibility
C009-V1-partnership,C009-V1,partnership,candidate_filter_not_final_eligibility
C009-V1-llp,C009-V1,llp,candidate_filter_not_final_eligibility
C009-V1-private_company,C009-V1,private_company,candidate_filter_not_final_eligibility
C009-V1-public_company,C009-V1,public_company,candidate_filter_not_final_eligibility
C009-V1-trust,C009-V1,trust,candidate_filter_not_final_eligibility
C009-V1-society,C009-V1,society,candidate_filter_not_final_eligibility
C009-V1-section8,C009-V1,section8,candidate_filter_not_final_eligibility
C009-V1-other,C009-V1,other,candidate_filter_not_final_eligibility
C010-V1-sole_proprietor,C010-V1,sole_proprietor,candidate_filter_not_final_eligibility
C010-V1-partnership,C010-V1,partnership,candidate_filter_not_final_eligibility
C010-V1-llp,C010-V1,llp,candidate_filter_not_final_eligibility
C010-V1-private_company,C010-V1,private_company,candidate_filter_not_final_eligibility
C010-V1-public_company,C010-V1,public_company,candidate_filter_not_final_eligibility
C010-V1-trust,C010-V1,trust,candidate_filter_not_final_eligibility
C010-V1-society,C010-V1,society,candidate_filter_not_final_eligibility
C010-V1-section8,C010-V1,section8,candidate_filter_not_final_eligibility
C010-V1-other,C010-V1,other,candidate_filter_not_final_eligibility
C011-V1-sole_proprietor,C011-V1,sole_proprietor,candidate_filter_not_final_eligibility
C011-V1-partnership,C011-V1,partnership,candidate_filter_not_final_eligibility
C011-V1-llp,C011-V1,llp,candidate_filter_not_final_eligibility
C011-V1-private_company,C011-V1,private_company,candidate_filter_not_final_eligibility
C011-V1-public_company,C011-V1,public_company,candidate_filter_not_final_eligibility
C011-V1-trust,C011-V1,trust,candidate_filter_not_final_eligibility
C011-V1-society,C011-V1,society,candidate_filter_not_final_eligibility
C011-V1-section8,C011-V1,section8,candidate_filter_not_final_eligibility
C011-V1-other,C011-V1,other,candidate_filter_not_final_eligibility
C012-V1-sole_proprietor,C012-V1,sole_proprietor,candidate_filter_not_final_eligibility
C012-V1-partnership,C012-V1,partnership,candidate_filter_not_final_eligibility
C012-V1-llp,C012-V1,llp,candidate_filter_not_final_eligibility
C012-V1-private_company,C012-V1,private_company,candidate_filter_not_final_eligibility
C012-V1-public_company,C012-V1,public_company,candidate_filter_not_final_eligibility
C012-V1-trust,C012-V1,trust,candidate_filter_not_final_eligibility
C012-V1-society,C012-V1,society,candidate_filter_not_final_eligibility
C012-V1-section8,C012-V1,section8,candidate_filter_not_final_eligibility
C012-V1-other,C012-V1,other,candidate_filter_not_final_eligibility
C013-V1-sole_proprietor,C013-V1,sole_proprietor,candidate_filter_not_final_eligibility
C013-V1-partnership,C013-V1,partnership,candidate_filter_not_final_eligibility
C013-V1-llp,C013-V1,llp,candidate_filter_not_final_eligibility
C013-V1-private_company,C013-V1,private_company,candidate_filter_not_final_eligibility
C013-V1-public_company,C013-V1,public_company,candidate_filter_not_final_eligibility
C013-V1-trust,C013-V1,trust,candidate_filter_not_final_eligibility
C013-V1-society,C013-V1,society,candidate_filter_not_final_eligibility
C013-V1-section8,C013-V1,section8,candidate_filter_not_final_eligibility
C013-V1-other,C013-V1,other,candidate_filter_not_final_eligibility
C014-V1-sole_proprietor,C014-V1,sole_proprietor,candidate_filter_not_final_eligibility
C014-V1-partnership,C014-V1,partnership,candidate_filter_not_final_eligibility
C014-V1-llp,C014-V1,llp,candidate_filter_not_final_eligibility
C014-V1-private_company,C014-V1,private_company,candidate_filter_not_final_eligibility
C014-V1-public_company,C014-V1,public_company,candidate_filter_not_final_eligibility
C014-V1-trust,C014-V1,trust,candidate_filter_not_final_eligibility
C014-V1-society,C014-V1,society,candidate_filter_not_final_eligibility
C014-V1-section8,C014-V1,section8,candidate_filter_not_final_eligibility
C014-V1-other,C014-V1,other,candidate_filter_not_final_eligibility
C015-V1-private_company,C015-V1,private_company,candidate_filter_not_final_eligibility
C015-V1-public_company,C015-V1,public_company,candidate_filter_not_final_eligibility
C016-V1-private_company,C016-V1,private_company,candidate_filter_not_final_eligibility
C016-V1-public_company,C016-V1,public_company,candidate_filter_not_final_eligibility
C017-V1-private_company,C017-V1,private_company,candidate_filter_not_final_eligibility
C017-V1-public_company,C017-V1,public_company,candidate_filter_not_final_eligibility
C018-V1-private_company,C018-V1,private_company,candidate_filter_not_final_eligibility
C018-V1-public_company,C018-V1,public_company,candidate_filter_not_final_eligibility
C019-V1-private_company,C019-V1,private_company,candidate_filter_not_final_eligibility
C019-V1-public_company,C019-V1,public_company,candidate_filter_not_final_eligibility
C020-V1-private_company,C020-V1,private_company,candidate_filter_not_final_eligibility
C020-V1-public_company,C020-V1,public_company,candidate_filter_not_final_eligibility
C021-V1-private_company,C021-V1,private_company,candidate_filter_not_final_eligibility
C021-V1-public_company,C021-V1,public_company,candidate_filter_not_final_eligibility
C022-V1-private_company,C022-V1,private_company,candidate_filter_not_final_eligibility
C022-V1-public_company,C022-V1,public_company,candidate_filter_not_final_eligibility
C023-V1-llp,C023-V1,llp,candidate_filter_not_final_eligibility
C023-V1-private_company,C023-V1,private_company,candidate_filter_not_final_eligibility
C023-V1-public_company,C023-V1,public_company,candidate_filter_not_final_eligibility
C024-V1-private_company,C024-V1,private_company,candidate_filter_not_final_eligibility
C024-V1-public_company,C024-V1,public_company,candidate_filter_not_final_eligibility
C025-V1-private_company,C025-V1,private_company,candidate_filter_not_final_eligibility
C025-V1-public_company,C025-V1,public_company,candidate_filter_not_final_eligibility
C026-V1-private_company,C026-V1,private_company,candidate_filter_not_final_eligibility
C026-V1-public_company,C026-V1,public_company,candidate_filter_not_final_eligibility
C027-V1-private_company,C027-V1,private_company,candidate_filter_not_final_eligibility
C027-V1-public_company,C027-V1,public_company,candidate_filter_not_final_eligibility
C028-V1-private_company,C028-V1,private_company,candidate_filter_not_final_eligibility
C028-V1-public_company,C028-V1,public_company,candidate_filter_not_final_eligibility
C029-V1-private_company,C029-V1,private_company,candidate_filter_not_final_eligibility
C029-V1-public_company,C029-V1,public_company,candidate_filter_not_final_eligibility
C030-V1-private_company,C030-V1,private_company,candidate_filter_not_final_eligibility
C030-V1-public_company,C030-V1,public_company,candidate_filter_not_final_eligibility
C031-V1-public_company,C031-V1,public_company,candidate_filter_not_final_eligibility
C032-V1-llp,C032-V1,llp,candidate_filter_not_final_eligibility
C033-V1-llp,C033-V1,llp,candidate_filter_not_final_eligibility
C034-V1-llp,C034-V1,llp,candidate_filter_not_final_eligibility
C035-V1-llp,C035-V1,llp,candidate_filter_not_final_eligibility
C036-V1-partnership,C036-V1,partnership,candidate_filter_not_final_eligibility
C037-V1-partnership,C037-V1,partnership,candidate_filter_not_final_eligibility
C038-V1-section8,C038-V1,section8,candidate_filter_not_final_eligibility
C038-V1-society,C038-V1,society,candidate_filter_not_final_eligibility
C038-V1-trust,C038-V1,trust,candidate_filter_not_final_eligibility
C039-V1-section8,C039-V1,section8,candidate_filter_not_final_eligibility
C039-V1-society,C039-V1,society,candidate_filter_not_final_eligibility
C039-V1-trust,C039-V1,trust,candidate_filter_not_final_eligibility
C040-V1-section8,C040-V1,section8,candidate_filter_not_final_eligibility
C040-V1-society,C040-V1,society,candidate_filter_not_final_eligibility
C040-V1-trust,C040-V1,trust,candidate_filter_not_final_eligibility
C041-V1-section8,C041-V1,section8,candidate_filter_not_final_eligibility
C041-V1-society,C041-V1,society,candidate_filter_not_final_eligibility
C041-V1-trust,C041-V1,trust,candidate_filter_not_final_eligibility
C042-V1-section8,C042-V1,section8,candidate_filter_not_final_eligibility
C042-V1-society,C042-V1,society,candidate_filter_not_final_eligibility
C042-V1-trust,C042-V1,trust,candidate_filter_not_final_eligibility
C043-V1-section8,C043-V1,section8,candidate_filter_not_final_eligibility
C043-V1-society,C043-V1,society,candidate_filter_not_final_eligibility
C043-V1-trust,C043-V1,trust,candidate_filter_not_final_eligibility
C044-V1-section8,C044-V1,section8,candidate_filter_not_final_eligibility
C044-V1-society,C044-V1,society,candidate_filter_not_final_eligibility
C044-V1-trust,C044-V1,trust,candidate_filter_not_final_eligibility
C045-V1-section8,C045-V1,section8,candidate_filter_not_final_eligibility
C045-V1-society,C045-V1,society,candidate_filter_not_final_eligibility
C045-V1-trust,C045-V1,trust,candidate_filter_not_final_eligibility
C046-V1-sole_proprietor,C046-V1,sole_proprietor,candidate_filter_not_final_eligibility
C046-V1-partnership,C046-V1,partnership,candidate_filter_not_final_eligibility
C046-V1-llp,C046-V1,llp,candidate_filter_not_final_eligibility
C046-V1-private_company,C046-V1,private_company,candidate_filter_not_final_eligibility
C046-V1-public_company,C046-V1,public_company,candidate_filter_not_final_eligibility
C046-V1-trust,C046-V1,trust,candidate_filter_not_final_eligibility
C046-V1-society,C046-V1,society,candidate_filter_not_final_eligibility
C046-V1-section8,C046-V1,section8,candidate_filter_not_final_eligibility
C046-V1-other,C046-V1,other,candidate_filter_not_final_eligibility
C047-V1-sole_proprietor,C047-V1,sole_proprietor,candidate_filter_not_final_eligibility
C047-V1-partnership,C047-V1,partnership,candidate_filter_not_final_eligibility
C047-V1-llp,C047-V1,llp,candidate_filter_not_final_eligibility
C047-V1-private_company,C047-V1,private_company,candidate_filter_not_final_eligibility
C047-V1-public_company,C047-V1,public_company,candidate_filter_not_final_eligibility
C047-V1-trust,C047-V1,trust,candidate_filter_not_final_eligibility
C047-V1-society,C047-V1,society,candidate_filter_not_final_eligibility
C047-V1-section8,C047-V1,section8,candidate_filter_not_final_eligibility
C047-V1-other,C047-V1,other,candidate_filter_not_final_eligibility
C048-V1-llp,C048-V1,llp,candidate_filter_not_final_eligibility
C048-V1-partnership,C048-V1,partnership,candidate_filter_not_final_eligibility
C048-V1-private_company,C048-V1,private_company,candidate_filter_not_final_eligibility
C048-V1-public_company,C048-V1,public_company,candidate_filter_not_final_eligibility
C048-V1-sole_proprietor,C048-V1,sole_proprietor,candidate_filter_not_final_eligibility
C049-V1-llp,C049-V1,llp,candidate_filter_not_final_eligibility
C049-V1-partnership,C049-V1,partnership,candidate_filter_not_final_eligibility
C049-V1-private_company,C049-V1,private_company,candidate_filter_not_final_eligibility
C049-V1-public_company,C049-V1,public_company,candidate_filter_not_final_eligibility
C049-V1-sole_proprietor,C049-V1,sole_proprietor,candidate_filter_not_final_eligibility
C050-V1-llp,C050-V1,llp,candidate_filter_not_final_eligibility
C050-V1-partnership,C050-V1,partnership,candidate_filter_not_final_eligibility
C050-V1-private_company,C050-V1,private_company,candidate_filter_not_final_eligibility
C050-V1-public_company,C050-V1,public_company,candidate_filter_not_final_eligibility
C050-V1-sole_proprietor,C050-V1,sole_proprietor,candidate_filter_not_final_eligibility
C051-V1-sole_proprietor,C051-V1,sole_proprietor,candidate_filter_not_final_eligibility
C051-V1-partnership,C051-V1,partnership,candidate_filter_not_final_eligibility
C051-V1-llp,C051-V1,llp,candidate_filter_not_final_eligibility
C051-V1-private_company,C051-V1,private_company,candidate_filter_not_final_eligibility
C051-V1-public_company,C051-V1,public_company,candidate_filter_not_final_eligibility
C051-V1-trust,C051-V1,trust,candidate_filter_not_final_eligibility
C051-V1-society,C051-V1,society,candidate_filter_not_final_eligibility
C051-V1-section8,C051-V1,section8,candidate_filter_not_final_eligibility
C051-V1-other,C051-V1,other,candidate_filter_not_final_eligibility
C052-V1-llp,C052-V1,llp,candidate_filter_not_final_eligibility
C052-V1-partnership,C052-V1,partnership,candidate_filter_not_final_eligibility
C052-V1-private_company,C052-V1,private_company,candidate_filter_not_final_eligibility
C052-V1-public_company,C052-V1,public_company,candidate_filter_not_final_eligibility
C052-V1-sole_proprietor,C052-V1,sole_proprietor,candidate_filter_not_final_eligibility
C053-V1-llp,C053-V1,llp,candidate_filter_not_final_eligibility
C053-V1-partnership,C053-V1,partnership,candidate_filter_not_final_eligibility
C053-V1-private_company,C053-V1,private_company,candidate_filter_not_final_eligibility
C053-V1-public_company,C053-V1,public_company,candidate_filter_not_final_eligibility
C053-V1-sole_proprietor,C053-V1,sole_proprietor,candidate_filter_not_final_eligibility
C054-V1-llp,C054-V1,llp,candidate_filter_not_final_eligibility
C054-V1-partnership,C054-V1,partnership,candidate_filter_not_final_eligibility
C054-V1-private_company,C054-V1,private_company,candidate_filter_not_final_eligibility
C054-V1-public_company,C054-V1,public_company,candidate_filter_not_final_eligibility
C054-V1-sole_proprietor,C054-V1,sole_proprietor,candidate_filter_not_final_eligibility
C055-V1-llp,C055-V1,llp,candidate_filter_not_final_eligibility
C055-V1-partnership,C055-V1,partnership,candidate_filter_not_final_eligibility
C055-V1-private_company,C055-V1,private_company,candidate_filter_not_final_eligibility
C055-V1-public_company,C055-V1,public_company,candidate_filter_not_final_eligibility
C055-V1-sole_proprietor,C055-V1,sole_proprietor,candidate_filter_not_final_eligibility
C056-V1-sole_proprietor,C056-V1,sole_proprietor,candidate_filter_not_final_eligibility
C056-V1-partnership,C056-V1,partnership,candidate_filter_not_final_eligibility
C056-V1-llp,C056-V1,llp,candidate_filter_not_final_eligibility
C056-V1-private_company,C056-V1,private_company,candidate_filter_not_final_eligibility
C056-V1-public_company,C056-V1,public_company,candidate_filter_not_final_eligibility
C056-V1-trust,C056-V1,trust,candidate_filter_not_final_eligibility
C056-V1-society,C056-V1,society,candidate_filter_not_final_eligibility
C056-V1-section8,C056-V1,section8,candidate_filter_not_final_eligibility
C056-V1-other,C056-V1,other,candidate_filter_not_final_eligibility
C057-V1-sole_proprietor,C057-V1,sole_proprietor,candidate_filter_not_final_eligibility
C057-V1-partnership,C057-V1,partnership,candidate_filter_not_final_eligibility
C057-V1-llp,C057-V1,llp,candidate_filter_not_final_eligibility
C057-V1-private_company,C057-V1,private_company,candidate_filter_not_final_eligibility
C057-V1-public_company,C057-V1,public_company,candidate_filter_not_final_eligibility
C057-V1-trust,C057-V1,trust,candidate_filter_not_final_eligibility
C057-V1-society,C057-V1,society,candidate_filter_not_final_eligibility
C057-V1-section8,C057-V1,section8,candidate_filter_not_final_eligibility
C057-V1-other,C057-V1,other,candidate_filter_not_final_eligibility
C058-V1-sole_proprietor,C058-V1,sole_proprietor,candidate_filter_not_final_eligibility
C058-V1-partnership,C058-V1,partnership,candidate_filter_not_final_eligibility
C058-V1-llp,C058-V1,llp,candidate_filter_not_final_eligibility
C058-V1-private_company,C058-V1,private_company,candidate_filter_not_final_eligibility
C058-V1-public_company,C058-V1,public_company,candidate_filter_not_final_eligibility
C058-V1-trust,C058-V1,trust,candidate_filter_not_final_eligibility
C058-V1-society,C058-V1,society,candidate_filter_not_final_eligibility
C058-V1-section8,C058-V1,section8,candidate_filter_not_final_eligibility
C058-V1-other,C058-V1,other,candidate_filter_not_final_eligibility
C059-V1-llp,C059-V1,llp,candidate_filter_not_final_eligibility
C059-V1-partnership,C059-V1,partnership,candidate_filter_not_final_eligibility
C059-V1-private_company,C059-V1,private_company,candidate_filter_not_final_eligibility
C059-V1-public_company,C059-V1,public_company,candidate_filter_not_final_eligibility
C059-V1-sole_proprietor,C059-V1,sole_proprietor,candidate_filter_not_final_eligibility
C060-V1-sole_proprietor,C060-V1,sole_proprietor,candidate_filter_not_final_eligibility
C060-V1-partnership,C060-V1,partnership,candidate_filter_not_final_eligibility
C060-V1-llp,C060-V1,llp,candidate_filter_not_final_eligibility
C060-V1-private_company,C060-V1,private_company,candidate_filter_not_final_eligibility
C060-V1-public_company,C060-V1,public_company,candidate_filter_not_final_eligibility
C060-V1-trust,C060-V1,trust,candidate_filter_not_final_eligibility
C060-V1-society,C060-V1,society,candidate_filter_not_final_eligibility
C060-V1-section8,C060-V1,section8,candidate_filter_not_final_eligibility
C060-V1-other,C060-V1,other,candidate_filter_not_final_eligibility
C061-V1-sole_proprietor,C061-V1,sole_proprietor,candidate_filter_not_final_eligibility
C061-V1-partnership,C061-V1,partnership,candidate_filter_not_final_eligibility
C061-V1-llp,C061-V1,llp,candidate_filter_not_final_eligibility
C061-V1-private_company,C061-V1,private_company,candidate_filter_not_final_eligibility
C061-V1-public_company,C061-V1,public_company,candidate_filter_not_final_eligibility
C061-V1-trust,C061-V1,trust,candidate_filter_not_final_eligibility
C061-V1-society,C061-V1,society,candidate_filter_not_final_eligibility
C061-V1-section8,C061-V1,section8,candidate_filter_not_final_eligibility
C061-V1-other,C061-V1,other,candidate_filter_not_final_eligibility
C062-V1-sole_proprietor,C062-V1,sole_proprietor,candidate_filter_not_final_eligibility
C062-V1-partnership,C062-V1,partnership,candidate_filter_not_final_eligibility
C062-V1-llp,C062-V1,llp,candidate_filter_not_final_eligibility
C062-V1-private_company,C062-V1,private_company,candidate_filter_not_final_eligibility
C062-V1-public_company,C062-V1,public_company,candidate_filter_not_final_eligibility
C062-V1-trust,C062-V1,trust,candidate_filter_not_final_eligibility
C062-V1-society,C062-V1,society,candidate_filter_not_final_eligibility
C062-V1-section8,C062-V1,section8,candidate_filter_not_final_eligibility
C062-V1-other,C062-V1,other,candidate_filter_not_final_eligibility
C063-V1-llp,C063-V1,llp,candidate_filter_not_final_eligibility
C063-V1-partnership,C063-V1,partnership,candidate_filter_not_final_eligibility
C063-V1-private_company,C063-V1,private_company,candidate_filter_not_final_eligibility
C063-V1-public_company,C063-V1,public_company,candidate_filter_not_final_eligibility
C063-V1-sole_proprietor,C063-V1,sole_proprietor,candidate_filter_not_final_eligibility
C064-V1-sole_proprietor,C064-V1,sole_proprietor,candidate_filter_not_final_eligibility
C064-V1-partnership,C064-V1,partnership,candidate_filter_not_final_eligibility
C064-V1-llp,C064-V1,llp,candidate_filter_not_final_eligibility
C064-V1-private_company,C064-V1,private_company,candidate_filter_not_final_eligibility
C064-V1-public_company,C064-V1,public_company,candidate_filter_not_final_eligibility
C064-V1-trust,C064-V1,trust,candidate_filter_not_final_eligibility
C064-V1-society,C064-V1,society,candidate_filter_not_final_eligibility
C064-V1-section8,C064-V1,section8,candidate_filter_not_final_eligibility
C064-V1-other,C064-V1,other,candidate_filter_not_final_eligibility
C065-V1-sole_proprietor,C065-V1,sole_proprietor,candidate_filter_not_final_eligibility
C065-V1-partnership,C065-V1,partnership,candidate_filter_not_final_eligibility
C065-V1-llp,C065-V1,llp,candidate_filter_not_final_eligibility
C065-V1-private_company,C065-V1,private_company,candidate_filter_not_final_eligibility
C065-V1-public_company,C065-V1,public_company,candidate_filter_not_final_eligibility
C065-V1-trust,C065-V1,trust,candidate_filter_not_final_eligibility
C065-V1-society,C065-V1,society,candidate_filter_not_final_eligibility
C065-V1-section8,C065-V1,section8,candidate_filter_not_final_eligibility
C065-V1-other,C065-V1,other,candidate_filter_not_final_eligibility
C066-V1-llp,C066-V1,llp,candidate_filter_not_final_eligibility
C066-V1-partnership,C066-V1,partnership,candidate_filter_not_final_eligibility
C066-V1-private_company,C066-V1,private_company,candidate_filter_not_final_eligibility
C066-V1-public_company,C066-V1,public_company,candidate_filter_not_final_eligibility
C066-V1-sole_proprietor,C066-V1,sole_proprietor,candidate_filter_not_final_eligibility
C067-V1-sole_proprietor,C067-V1,sole_proprietor,candidate_filter_not_final_eligibility
C067-V1-partnership,C067-V1,partnership,candidate_filter_not_final_eligibility
C067-V1-llp,C067-V1,llp,candidate_filter_not_final_eligibility
C067-V1-private_company,C067-V1,private_company,candidate_filter_not_final_eligibility
C067-V1-public_company,C067-V1,public_company,candidate_filter_not_final_eligibility
C067-V1-trust,C067-V1,trust,candidate_filter_not_final_eligibility
C067-V1-society,C067-V1,society,candidate_filter_not_final_eligibility
C067-V1-section8,C067-V1,section8,candidate_filter_not_final_eligibility
C067-V1-other,C067-V1,other,candidate_filter_not_final_eligibility
C068-V1-llp,C068-V1,llp,candidate_filter_not_final_eligibility
C068-V1-partnership,C068-V1,partnership,candidate_filter_not_final_eligibility
C068-V1-private_company,C068-V1,private_company,candidate_filter_not_final_eligibility
C068-V1-public_company,C068-V1,public_company,candidate_filter_not_final_eligibility
C068-V1-sole_proprietor,C068-V1,sole_proprietor,candidate_filter_not_final_eligibility
C069-V1-llp,C069-V1,llp,candidate_filter_not_final_eligibility
C069-V1-partnership,C069-V1,partnership,candidate_filter_not_final_eligibility
C069-V1-private_company,C069-V1,private_company,candidate_filter_not_final_eligibility
C069-V1-public_company,C069-V1,public_company,candidate_filter_not_final_eligibility
C069-V1-sole_proprietor,C069-V1,sole_proprietor,candidate_filter_not_final_eligibility
C070-V1-llp,C070-V1,llp,candidate_filter_not_final_eligibility
C070-V1-partnership,C070-V1,partnership,candidate_filter_not_final_eligibility
C070-V1-private_company,C070-V1,private_company,candidate_filter_not_final_eligibility
C070-V1-public_company,C070-V1,public_company,candidate_filter_not_final_eligibility
C070-V1-sole_proprietor,C070-V1,sole_proprietor,candidate_filter_not_final_eligibility
C071-V1-llp,C071-V1,llp,candidate_filter_not_final_eligibility
C071-V1-partnership,C071-V1,partnership,candidate_filter_not_final_eligibility
C071-V1-private_company,C071-V1,private_company,candidate_filter_not_final_eligibility
C071-V1-public_company,C071-V1,public_company,candidate_filter_not_final_eligibility
C071-V1-sole_proprietor,C071-V1,sole_proprietor,candidate_filter_not_final_eligibility
C072-V1-llp,C072-V1,llp,candidate_filter_not_final_eligibility
C072-V1-partnership,C072-V1,partnership,candidate_filter_not_final_eligibility
C072-V1-private_company,C072-V1,private_company,candidate_filter_not_final_eligibility
C072-V1-public_company,C072-V1,public_company,candidate_filter_not_final_eligibility
C072-V1-sole_proprietor,C072-V1,sole_proprietor,candidate_filter_not_final_eligibility
C073-V1-llp,C073-V1,llp,candidate_filter_not_final_eligibility
C073-V1-partnership,C073-V1,partnership,candidate_filter_not_final_eligibility
C073-V1-private_company,C073-V1,private_company,candidate_filter_not_final_eligibility
C073-V1-public_company,C073-V1,public_company,candidate_filter_not_final_eligibility
C073-V1-sole_proprietor,C073-V1,sole_proprietor,candidate_filter_not_final_eligibility
C074-V1-sole_proprietor,C074-V1,sole_proprietor,candidate_filter_not_final_eligibility
C074-V1-partnership,C074-V1,partnership,candidate_filter_not_final_eligibility
C074-V1-llp,C074-V1,llp,candidate_filter_not_final_eligibility
C074-V1-private_company,C074-V1,private_company,candidate_filter_not_final_eligibility
C074-V1-public_company,C074-V1,public_company,candidate_filter_not_final_eligibility
C074-V1-trust,C074-V1,trust,candidate_filter_not_final_eligibility
C074-V1-society,C074-V1,society,candidate_filter_not_final_eligibility
C074-V1-section8,C074-V1,section8,candidate_filter_not_final_eligibility
C074-V1-other,C074-V1,other,candidate_filter_not_final_eligibility
C075-V1-sole_proprietor,C075-V1,sole_proprietor,candidate_filter_not_final_eligibility
C075-V1-partnership,C075-V1,partnership,candidate_filter_not_final_eligibility
C075-V1-llp,C075-V1,llp,candidate_filter_not_final_eligibility
C075-V1-private_company,C075-V1,private_company,candidate_filter_not_final_eligibility
C075-V1-public_company,C075-V1,public_company,candidate_filter_not_final_eligibility
C075-V1-trust,C075-V1,trust,candidate_filter_not_final_eligibility
C075-V1-society,C075-V1,society,candidate_filter_not_final_eligibility
C075-V1-section8,C075-V1,section8,candidate_filter_not_final_eligibility
C075-V1-other,C075-V1,other,candidate_filter_not_final_eligibility
C076-V1-sole_proprietor,C076-V1,sole_proprietor,candidate_filter_not_final_eligibility
C076-V1-partnership,C076-V1,partnership,candidate_filter_not_final_eligibility
C076-V1-llp,C076-V1,llp,candidate_filter_not_final_eligibility
