coverage_id,jurisdiction_id,topic,applicability_status,authority_url,application_url,source_id,coverage_status,next_verification,legacy_row_id,linked_rule_ids,filing_mode,physical_submission,applicant_visit,inspection,testing_or_notarisation,documents,procedure_urls
AR-professional_tax,IN-AR,professional_tax,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-shops_establishments,IN-AR,shops_establishments,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-labour_welfare_fund,IN-AR,labour_welfare_fund,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-factory_licensing,IN-AR,factory_licensing,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-pollution_cte,IN-AR,pollution_cte,requires_activity_and_local_law_review,https://apspcb.net/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",,,unverified,unverified,unverified,unverified,unverified,,
AR-pollution_cto,IN-AR,pollution_cto,requires_activity_and_local_law_review,https://apspcb.net/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",,,unverified,unverified,unverified,unverified,unverified,,
AR-hazardous_waste,IN-AR,hazardous_waste,requires_activity_and_local_law_review,https://apspcb.net/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",,,unverified,unverified,unverified,unverified,unverified,,
AR-fire_safety,IN-AR,fire_safety,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-municipal_trade,IN-AR,municipal_trade,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.,,,unverified,unverified,unverified,unverified,unverified,,
AR-building_occupancy,IN-AR,building_occupancy,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.,,,unverified,unverified,unverified,unverified,unverified,,
AR-state_drug_licensing,IN-AR,state_drug_licensing,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-excise,IN-AR,excise,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-legal_metrology,IN-AR,legal_metrology,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-rera,IN-AR,rera,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-psara,IN-AR,psara,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-state_food_safety,IN-AR,state_food_safety,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-groundwater,IN-AR,groundwater,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AR-boilers,IN-AR,boilers,requires_activity_and_local_law_review,https://eodb.arunachal.gov.in/active-services,,AR_SW,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",,,unverified,unverified,unverified,unverified,unverified,,
AS-professional_tax,IN-AS,professional_tax,legacy_claim_unverified,https://www.nsws.gov.in/state-list,,NSWS,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.,S014,,unverified,unverified,unverified,unverified,unverified,,
AS-shops_establishments,IN-AS,shops_establishments,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-labour_welfare_fund,IN-AS,labour_welfare_fund,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-factory_licensing,IN-AS,factory_licensing,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-pollution_cte,IN-AS,pollution_cte,requires_activity_and_local_law_review,http://www.pcbassam.org,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-pollution_cto,IN-AS,pollution_cto,requires_activity_and_local_law_review,http://www.pcbassam.org,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-hazardous_waste,IN-AS,hazardous_waste,requires_activity_and_local_law_review,http://www.pcbassam.org,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-fire_safety,IN-AS,fire_safety,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-municipal_trade,IN-AS,municipal_trade,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.,S014,,unverified,unverified,unverified,unverified,unverified,,
AS-building_occupancy,IN-AS,building_occupancy,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.,S014,,unverified,unverified,unverified,unverified,unverified,,
AS-state_drug_licensing,IN-AS,state_drug_licensing,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-excise,IN-AS,excise,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-legal_metrology,IN-AS,legal_metrology,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-rera,IN-AS,rera,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-psara,IN-AS,psara,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-state_food_safety,IN-AS,state_food_safety,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-groundwater,IN-AS,groundwater,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
AS-boilers,IN-AS,boilers,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S014,,unverified,unverified,unverified,unverified,unverified,,
BR-professional_tax,IN-BR,professional_tax,legacy_claim_unverified,https://www.nsws.gov.in/state-list,,NSWS,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.,S012,,unverified,unverified,unverified,unverified,unverified,,
BR-shops_establishments,IN-BR,shops_establishments,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-labour_welfare_fund,IN-BR,labour_welfare_fund,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-factory_licensing,IN-BR,factory_licensing,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-pollution_cte,IN-BR,pollution_cte,requires_activity_and_local_law_review,https://bspcb.bihar.gov.in/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-pollution_cto,IN-BR,pollution_cto,requires_activity_and_local_law_review,https://bspcb.bihar.gov.in/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-hazardous_waste,IN-BR,hazardous_waste,requires_activity_and_local_law_review,https://bspcb.bihar.gov.in/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-fire_safety,IN-BR,fire_safety,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-municipal_trade,IN-BR,municipal_trade,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.,S012,,unverified,unverified,unverified,unverified,unverified,,
BR-building_occupancy,IN-BR,building_occupancy,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.,S012,,unverified,unverified,unverified,unverified,unverified,,
BR-state_drug_licensing,IN-BR,state_drug_licensing,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-excise,IN-BR,excise,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,AX_BR_EX,partial_rule_research,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,AX033-V1,unverified,unverified,unverified,unverified,unverified,Applicant/entity; premises rights and site particulars; proposed product/activity; current category checklist,https://state.bihar.gov.in/excise/CitizenHome.html
BR-legal_metrology,IN-BR,legal_metrology,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-rera,IN-BR,rera,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-psara,IN-BR,psara,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-state_food_safety,IN-BR,state_food_safety,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-groundwater,IN-BR,groundwater,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
BR-boilers,IN-BR,boilers,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S012,,unverified,unverified,unverified,unverified,unverified,,
CH-professional_tax,IN-CH,professional_tax,legacy_claim_unverified,https://www.nsws.gov.in/state-list,,NSWS,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.,S025,,unverified,unverified,unverified,unverified,unverified,,
CH-shops_establishments,IN-CH,shops_establishments,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S025,,unverified,unverified,unverified,unverified,unverified,,
CH-labour_welfare_fund,IN-CH,labour_welfare_fund,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S025,,unverified,unverified,unverified,unverified,unverified,,
CH-factory_licensing,IN-CH,factory_licensing,requires_activity_and_local_law_review,https://www.nsws.gov.in/state-list,,NSWS,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available.",S025,,unverified,unverified,unverified,unverified,unverified,,
CH-pollution_cte,IN-CH,pollution_cte,requires_activity_and_local_law_review,https://cpcc.chd.gov.in/,,CPCB_DIR,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint.",S025,,unverified,unverified,unverified,unverified,unverified,,
