rule_id,compliance_id,jurisdiction_id,authority_id,governing_law,form_code,applicability_text,turnover_basis,employee_basis,effective_from,effective_to,tax_period,frequency,deadline_text,deadline_json,exceptions_text,verification_status,automation_enabled,checked_on
C011-V1,C011,IN,AUTH-GST,"CGST Rules, Rule 48(4)",,B2B GST-registered suppliers,"Aggregate turnover exceeding INR 50000000 in a relevant preceding FY since 2017-18, subject to exempt supplier classes and covered documents.",N/A,,,,"Real-time, per transaction",Generate IRN within the applicable invoice requirements; AATO >= INR 100000000 has a 30-day portal reporting restriction from 1 April 2025. This is not permission to issue a required e-invoice without an IRN.,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C012-V1,C012,IN,AUTH-GST,"CGST Rules, Rule 19",,GST registered entities,N/A,N/A,,,,Event-based,Within 15 days of change,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C013-V1,C013,IN,AUTH-GST,"CGST Rules, Rule 96A",RFD-11,Exporters (goods/services) wanting to export without IGST payment,N/A,N/A,,,,Annual,Before start of financial year,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C014-V1,C014,IN,AUTH-GST,"CGST Rules, Rule 138",,BIZ,N/A,N/A,,,,Per transaction,"Before movement of goods >Rs50,000 value","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C015-V1,C015,IN,AUTH-MCA,Companies Act 2013,,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time,Before incorporation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C016-V1,C016,IN,AUTH-MCA,Companies Act 2013,,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time,N/A,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C017-V1,C017,IN,AUTH-MCA,"Companies Act 2013, Sec 10A",INC-20A,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time,Within 180 days of incorporation (companies with share capital),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C018-V1,C018,IN,AUTH-MCA,"Companies Act 2013, Sec 173",,"Private Ltd, Public Ltd",N/A,N/A,,,,One-time then ongoing,Within 30 days of incorporation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C019-V1,C019,IN,AUTH-MCA,"Companies Act 2013, Sec 139",ADT-1,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based (post-AGM),Within 15 days of AGM (first auditor: 30 days of incorporation by board),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C020-V1,C020,IN,AUTH-MCA,"Companies Act 2013, Sec 137",AOC-4 (variant depends on company),"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,"Section 137: ordinarily within 30 days of AGM; special handling for no AGM, unadopted accounts and OPC. Determine actual due date from applicable company facts.","{""type"": ""event_offset"", ""event"": ""agm_date"", ""days"": 30, ""exception_review"": [""OPC"", ""AGM_not_held"", ""unadopted_accounts""], ""source_id"": ""MCA_ACT"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C021-V1,C021,IN,AUTH-MCA,"Companies Act 2013, Sec 92",MGT-7 / MGT-7A,"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,"Within 60 days of AGM or the date it should have been held, as applicable; exemptions/special entity rules require checking.","{""type"": ""event_offset"", ""event"": ""agm_or_statutory_last_date"", ""days"": 60, ""exception_review"": [""OPC"", ""other_exemptions""], ""source_id"": ""MCA_ACT"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Select MGT-7A only where OPC/small-company rules apply. From 1 December 2025, small-company prescribed capital and turnover limits are INR 10 crore and INR 100 crore; statutory exclusions still apply, including public, holding/subsidiary and Section 8 companies.",researched_partial,0,2026-09-14
C022-V1,C022,IN,AUTH-MCA,"Companies Act 2013, Sec 96",,"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,Within 6 months of FY end (max 9 months for 1st AGM); by 30 Sept for March year-end,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C023-V1,C023,IN,AUTH-MCA,"Companies Act 2013, Rule 12A",DIR-3-KYC-Web / current Rule 12A form,"Private Ltd, Public Ltd directors, LLP designated partners",N/A,N/A,2026-03-31,,,three_year_cycle_plus_event_updates,From 31 March 2026: new three-year KYC framework. Directors with KYC already completed as described in the announcement next file by 30 June 2028. Determine first-filing and changed-details requirements from current Rule 12A.,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C024-V1,C024,IN,AUTH-MCA,"Companies Act 2013, Rule 16",DPT-3,"Private Ltd, Public Ltd",N/A,N/A,,,,Annual,30 June (for position as on 31 March),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C025-V1,C025,IN,AUTH-MCA,"Companies Act 2013, Sec 405",MSME-1,"Private Ltd, Public Ltd",N/A,N/A,,,,Half-yearly,30 April (Oct-Mar) and 31 October (Apr-Sep),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C026-V1,C026,IN,AUTH-MCA,"Companies Act 2013, Sec 77",CHG-1,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days of charge creation (condonation up to 60 days with fee),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C027-V1,C027,IN,AUTH-MCA,"Companies Act 2013, Sec 39",PAS-3,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days of share allotment (e.g. equity funding round),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C028-V1,C028,IN,AUTH-MCA,"Companies Act 2013, Sec 170",DIR-12,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days of appointment/resignation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C029-V1,C029,IN,AUTH-MCA,"Companies Act 2013, Sec 12",INC-22,"Private Ltd, Public Ltd",N/A,N/A,,,,Event-based,Within 30 days (15 days if within same city),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C030-V1,C030,IN,AUTH-AUDIT,"Companies Act 2013, Sec 139-143",,"Private Ltd, Public Ltd",Company statutory audit is not conditional on a minimum turnover; company-specific exemptions and auditor rules still require checking.,N/A,,,,Annual,Before AGM (audited financials needed for AOC-4),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C031-V1,C031,IN,AUTH-AUDIT,"Companies Act 2013, Sec 204",,Public Ltd (paid-up capital >=Rs50Cr or turnover >=Rs250Cr) & listed companies,Turnover >=Rs250Cr (Public Ltd),N/A,,,,Annual,Annexed to Board's Report before AGM,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C032-V1,C032,IN,AUTH-LLP,LLP Act 2008,,LLP,N/A,N/A,,,,One-time,N/A,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C033-V1,C033,IN,AUTH-LLP,"LLP Act 2008, Sec 35",LLP-11,LLP,N/A,N/A,,,,Annual,30 May (60 days from FY end),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C034-V1,C034,IN,AUTH-LLP,"LLP Act 2008, Sec 34",LLP-8,LLP,N/A,N/A,,,,Annual,Within 30 days after the end of six months from financial-year close; ordinarily 30 October for a 31 March close. Check first-FY and notified extension rules.,"{""type"": ""year_end_offset_then_days"", ""month_offset"": 6, ""days"": 30, ""period_basis"": ""financial_year_end"", ""source_id"": ""LLP_8"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C035-V1,C035,IN,AUTH-INCOME_TAX,Income Tax Act 1961,ITR-5,LLP,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,31 July (non-audit); 31 Oct (audit cases),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C036-V1,C036,IN,AUTH-NGO,Indian Partnership Act 1932,,Partnership Firm,N/A,N/A,,,,One-time (optional but strongly recommended),Anytime after firm formation,"{""type"": ""manual_review""}",State amendments and consequences of non-registration must be evaluated; do not automatically treat registration as uniformly compulsory or unnecessary.,imported_unverified,0,2026-09-14
C037-V1,C037,IN,AUTH-NGO,Indian Partnership Act 1932,,Partnership Firm,N/A,N/A,,,,Event-based,Within a reasonable time of change (varies by state),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C038-V1,C038,IN,AUTH-NGO,Indian Trusts Act 1882 / State Public Trust Acts,,NGO (Trust/Society/Section 8),N/A,N/A,,,,One-time,At formation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C039-V1,C039,IN,AUTH-NGO,Societies Registration Act 1860 (state amendments),,NGO (Trust/Society/Section 8),N/A,N/A,,,,One-time,At formation,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C040-V1,C040,IN,AUTH-NGO,"Companies Act 2013, Sec 8",,NGO (Trust/Society/Section 8),N/A,N/A,,,,One-time,N/A,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C041-V1,C041,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 12AB",,NGO (Trust/Society/Section 8),N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,"One-time, then renewal every 5 years",Renewal application at least 6 months before expiry,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C042-V1,C042,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 80G",,NGO (Trust/Society/Section 8),N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,"One-time, then renewal every 5 years",Along with/after 12AB renewal,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C043-V1,C043,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 12A(1)(b)",10B / 10BB,NGO (Trust/Society/Section 8),Mandatory if income before exemption exceeds basic exemption limit,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,30 September (1 month before ITR-7 due date),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C044-V1,C044,IN,AUTH-INCOME_TAX,Income Tax Act 1961,ITR-7,NGO (Trust/Society/Section 8),N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,31 October (audit cases),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C045-V1,C045,IN,AUTH-NGO,Foreign Contribution (Regulation) Act 2010,,NGO (Trust/Society/Section 8) receiving foreign funds,N/A,N/A,,,,event_based,Before accepting foreign contribution where registration/prior permission is required; annual FC-4 is N007.,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",imported_unverified,0,2026-09-14
C046-V1,C046,IN,AUTH-INCOME_TAX,Income Tax Act 1961,,All entity types,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,One-time,Before first transaction requiring PAN,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C047-V1,C047,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 203A",,All entities deducting/collecting TDS/TCS,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,One-time,Before first TDS deduction,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C048-V1,C048,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 139(1)",,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Below tax audit threshold,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,"AY 2026-27: do not use one date for every non-audit taxpayer. Official guidance distinguishes 31 July and 31 August categories. Resolve business/professional income, entity type and applicable extensions before scheduling.","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C049-V1,C049,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 139(1)",,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Above tax audit threshold or opted for audit,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,31-Oct,"{""type"": ""manual_review""}","Income-tax audit, statutory audit and transfer-pricing categories have distinct return deadlines. An audit-report deadline is not the ITR deadline.",researched_partial,0,2026-09-14
C050-V1,C050,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 44AB (Sec 63 under new Income Tax Act 2025)",3CA / 3CB with 3CD,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd","Business: above INR 10000000, or above INR 100000000 where BOTH cash receipts and cash payments do not exceed 5%. Profession: general audit threshold above INR 5000000. Eligible presumptive professional treatment up to INR 7500000 can relieve audit only if all conditions are met; it is not a universal digital-receipts audit threshold.",N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,"For FY 2025-26 / AY 2026-27, Forms 3CA/3CB + 3CD; ordinary audit-report due date 30 September 2026, subject to category and extensions. New Tax Year 2026-27 uses Form 26.","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C051-V1,C051,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 92E",3CEB,Entities with international/specified domestic related-party transactions,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,31-Oct,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C052-V1,C052,IN,AUTH-INCOME_TAX,"Income Tax Act 1961, Sec 208-211",,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd","Estimated net advance-tax liability >= INR 10000, after applicable credits and exemptions; this is a tax-liability threshold, not turnover.",N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Quarterly (4 instalments),"15 Jun (15%), 15 Sep (45%), 15 Dec (75%), 15 Mar (100%)","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C053-V1,C053,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Sec 200",,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd (as deductors)",N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Monthly,7th of following month (30 Apr for March deductions by non-govt deductors),"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C054-V1,C054,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Sec 200(3) (renumbered Form 138 under new Act)",24Q,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd with employees",N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C055-V1,C055,IN,AUTH-TDS_TCS,Income Tax Act 1961 (renumbered Form 140),26Q,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C056-V1,C056,IN,AUTH-TDS_TCS,"Income-tax Act 1961 for legacy periods; Form 27Q maps to Form 144 under the Income-tax Rules 2026, not Form 139.",27Q,Entities making payments to non-residents,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C057-V1,C057,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Sec 206C",27EQ,"Entities collecting TCS (e-commerce, scrap dealers, large sellers etc.)",N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)","{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C058-V1,C058,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Rule 31",16,Employers,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,15-Jun,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C059-V1,C059,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Rule 31",16A,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Quarterly,Within 15 days of quarterly TDS return due date,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C060-V1,C060,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Sec 194-IA",26QB,Buyers of immovable property >=Rs50L,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Event-based,Within 30 days from end of month of payment,"{""type"": ""manual_review""}",Legacy Form 26QB applies to relevant old-law transactions. New-law specified transactions use Form 141; select its property schedule and current conditions.,researched_partial,0,2026-09-14
C061-V1,C061,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Sec 195",15CA / 15CB,Entities remitting funds abroad,N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Event-based,Before remittance,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C062-V1,C062,IN,AUTH-TDS_TCS,"Income Tax Act 1961, Sec 285BA",61A,"Entities crossing specified transaction thresholds (banks, registrars, large cash dealers etc.)",N/A,N/A,,,1961 Act periods / AY through 2026-27; check transitional provisions,Annual,31-May,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C063-V1,C063,IN,AUTH-EPFO,"Employees' Provident Funds & Misc. Provisions Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,"Mandatory at 20+ employees; voluntary below 20 (once covered, stays covered permanently)",,,,One-time,Within statutory timeline of crossing threshold,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C064-V1,C064,IN,AUTH-EPFO,"EPF Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",,Registered EPF establishments,N/A,"N/A (post-registration, applies at any headcount)",,,,Monthly,Ordinary monthly PF payment due by 15th of following month. Treat ECR extensions and contribution-payment extensions separately.,"{""type"": ""period_offset"", ""period"": ""month"", ""month_offset"": 1, ""day"": 15, ""applies_to"": ""contribution_payment"", ""source_id"": ""EPF_DUE"", ""timezone"": ""Asia/Kolkata"", ""status"": ""candidate_requires_full_applicability_and_extension_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
C065-V1,C065,IN,AUTH-EPFO,"EPF Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",,Do not create a routine separate annual Form 3A/6A filing for ECR-compliant employers. Retain this entry for historical records or a specific correction/departmental requirement.,N/A,N/A,,,,legacy_or_specific_request,No routine separate annual deadline assigned; use actual departmental request if applicable.,"{""type"": ""manual_review""}","Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",researched_partial,0,2026-09-14
