compliance_id,rule_id,topic,decision,indiafilings_url,official_source_urls,conflict_or_scope_note,checked_on
IF011,IF011-V1,Apply for dormant company status,added,https://www.indiafilings.com/dormant-company,https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF012,IF012-V1,Dormant company annual return,added,https://www.indiafilings.com/dormant-company,https://www.mca.gov.in/MCA21/dca/help/instructionkit/NCA/Form_MSC-3_help.pdf,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF013,IF013-V1,Trademark examination-report response,added,https://www.indiafilings.com/trademark-objection/trademark-objection-process-explained-for-india,https://ipindia.gov.in/tm-rules-2017,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF014,IF014-V1,Trademark opposition counterstatement,added,https://www.indiafilings.com/trademark-opposition,https://ipindia.gov.in/tm-rules-2017,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
IF015,IF015-V1,DPIIT startup recognition,added,https://www.indiafilings.com/start-up-india,https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf|https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,IndiaFilings still displays INR 100 crore. Gazette 108(E) sets INR 200/300 crore with normal/deep-tech distinctions. Exact boundary taken from Gazette rather than inconsistent portal summary.,2026-09-15
IF016,IF016-V1,Restoration of struck-off company / order filing,added,https://www.indiafilings.com/learn/company-revival-procedure,https://www.indiacode.nic.in/bitstream/123456789/2114/3/a2013-18.pdf|https://mca.gov.in/,No specific conflict identified; unresolved exceptions and physical steps remain marked for review.,2026-09-15
C001,C001-V1,GST registration,already_covered_no_duplicate,https://www.indiafilings.com/,,Existing entry retained; commercial marketing does not upgrade its evidence status.,2026-09-15
C020,C020-V1,AOC-4 annual accounts,already_covered_no_duplicate,https://www.indiafilings.com/,,Existing entry retained; commercial marketing does not upgrade its evidence status.,2026-09-15
C021,C021-V1,Company annual return,already_covered_no_duplicate,https://www.indiafilings.com/,,Existing entry retained; commercial marketing does not upgrade its evidence status.,2026-09-15
C023,C023-V1,Director KYC,already_covered_no_duplicate,https://www.indiafilings.com/,,Existing entry retained; commercial marketing does not upgrade its evidence status.,2026-09-15
C064,C064-V1,PF monthly contribution/ECR,already_covered_no_duplicate,https://www.indiafilings.com/,,Existing entry retained; commercial marketing does not upgrade its evidence status.,2026-09-15
C094,C094-V1,Trademark registration,already_covered_no_duplicate,https://www.indiafilings.com/,,Existing entry retained; commercial marketing does not upgrade its evidence status.,2026-09-15
