source_id,url,title,source_type,supports,retrieval_method,accessed_on
IT_ADVANCE,https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/tax-payments,Income Tax payments FAQs,guidance,Advance tax liability at least INR 10000; Income-tax Act 2025 section 404,search_excerpt,2026-09-14
IT_EPAY,https://www.incometax.gov.in/iec/foportal/help/all-topics/e-filing-services/e-pay-tax?mobile-app=1,Income Tax e-Pay Tax guide,guidance,Electronic payment and alternative payment routes,search_excerpt,2026-09-14
IT_2025,https://www.incometaxindia.gov.in/documents/d/guest/press-release-income-tax-act-2025-comes-into-force-from-01-april-2026-pdf,Income-tax Act 2025 commencement release,official_release,New Act effective 1 April 2026; preserve older tax periods,search_excerpt,2026-09-14
LABOUR_CODES,https://labour.gov.in/sites/default/files/pib2209767.pdf,Ministry of Labour code implementation release,official_release,Four labour codes effective 21 November 2025,search_excerpt,2026-09-14
LABOUR_SSC,https://www.labour.gov.in/static/uploads/2026/03/a4ccf4c6d97c4f1f36a6d83f8c64213d.pdf?v=20260620082854,Additional Labour Code FAQs March 2026,guidance,ESI wage ceiling INR 21000; fixed-term employee gratuity after one year under contract,search_excerpt,2026-09-14
OSH_FAQ,https://www.labour.gov.in/static/uploads/2026/03/d7a1038bf00f763484aa27a79a4c6306.pdf,OSH Code FAQ 13 March 2026,guidance,"Hazardous-process health exams, inspections and principal-employer welfare duties",opened_page,2026-09-14
OSH_RULES,https://meglc.gov.in/labour_codes.html,Labour Codes central rules repository,directory,"Final Central OSH Rules 2026 GSR 344(E), 8 May 2026; state applicability must be separately established",search_excerpt,2026-09-14
EPF_DUE,https://www.epfindia.gov.in/site_docs/PDFs/Updates/ImportantNotice.pdf,EPFO monthly payment notice,official_release,Monthly PF payment due on 15th,search_excerpt,2026-09-14
EPF_EXTENSION,https://www.epfindia.gov.in/site_docs/PDFs/Circulars/Y2025-2026/Circular_ExtensionOfECR_22012026.pdf,EPFO December 2025 ECR extension,notification,Period-specific extension to 22 January 2026; not a recurring deadline,search_excerpt,2026-09-14
ESI_RATES,https://www.esic.gov.in/attachments/publicationfile/7d5c1e6435befca342a31d9e36d40e27.pdf,ESIC benefits publication,official_report,Employer 3.25 percent and employee 0.75 percent contribution,search_excerpt,2026-09-14
FSSAI_THRESH,https://www.fssai.gov.in/upload/advisories/2026/03/69b4054bb6cd6Order%20dated%2013thMarch2026_Revised%20Turnover%20threshold.pdf,FSSAI threshold order 13 March 2026,notification,Revised turnover tiers from 1 April 2026,search_excerpt,2026-09-14
FSSAI_KOB,https://foscos.fssai.gov.in/assets/docs/Revised_2ndApril2026KindofBusinessEligibility.pdf,FoSCoS kind-of-business eligibility matrix 1 April 2026,guidance,Category overrides to turnover tiers,search_excerpt,2026-09-14
FSSAI_VALID,https://www.fssai.gov.in/upload/advisories/2026/03/69c6a23234827order_27032026.pdf,FSSAI FAQs 27 March 2026,guidance,"Perpetual validity, fee obligations and migration",search_excerpt,2026-09-14
FSSAI_PORTAL,https://fssai.gov.in/business,FSSAI business services,portal,FoSCoS applications and compliance services,search_excerpt,2026-09-14
DGFT_FTP,https://content.dgft.gov.in/Website/dgftprod/61d61bc2-272e-4880-b96c-c8f685a3b244/Foreign%20Trade%20Policy%202023.pdf,Foreign Trade Policy 2023,policy,IEC online application and April-June annual confirmation; service-export qualification,search_excerpt,2026-09-14
UDYAM,https://udyamregistration.gov.in/,Udyam official registration portal,portal,Current MSME thresholds and paperless self-declaration; no renewal,opened_page,2026-09-14
TREDS,https://www.indiabudget.gov.in/budget2025-26/doc/impbud2024-25.pdf,Implementation of Budget announcements 2024-25,official_report,Companies turnover more than INR 250 crore and all CPSEs; onboarding deadline 31 March 2025,search_excerpt,2026-09-14
PB_PT,https://psdt.punjab.gov.in/,Punjab State Development Tax portal,portal,Tax exists; registration and lump-sum election services,opened_page,2026-09-14
PB_PT_FORM,https://psdt.punjab.gov.in/register,Punjab PSDT registration form,form,Employer/individual information and PAN upload,opened_page,2026-09-14
PB_PT_RULES,https://psdt.punjab.gov.in/docs/Form17Document.pdf,Punjab PSDT First Amendment Rules 2025,notification,Form 17/18 election by 31 March; lump-sum payment by 30 April,opened_page,2026-09-14
CG_PT,https://finance.cg.gov.in/budget_doc/2011-2012/Press%20Note/Press%20Note-E.pdf,Chhattisgarh Budget 2011-12 press note,official_report,Professional tax discontinued; current legal reintroduction check remains necessary,search_excerpt,2026-09-14
MH_SE,https://mahakamgar.maharashtra.gov.in/Site/Upload/Pdf/Shops_Establishment_Regulation_of_Employment_Conditions_Eng_27.02.2018.pdf,Maharashtra Shops Act 2017,statute,"Historical base: validity up to ten years, renewal thirty days before expiry; 2025 amendment must also be checked",search_excerpt,2026-09-14
MH_SE_2025,https://lj.maharashtra.gov.in/en/document/the-maharashtra-shops-and-establishments-regulation-of-employment-and-conditions-of-service-amendment-ordinance-2025/,Maharashtra Shops amendment ordinance 2025,notification,Amendment exists; operative replacement and thresholds require resolution,search_excerpt,2026-09-14
TN_SE,https://labour.tn.gov.in/services/shop-establishments/registration,Tamil Nadu Shops registration form,form,"Online registration; at least ten workers; PAN, address, trade licence, name-board photo",opened_page,2026-09-14
AN_LABOUR,https://labour.and.nic.in/labour/,Andaman and Nicobar labour online services,portal,Shops registration and renewal services,search_excerpt,2026-09-14
MN_PT,https://professionaltax.mn.gov.in/Default.aspx,Manipur professional tax portal,portal,Professional tax online service,search_excerpt,2026-09-14
NL_PT,https://taxsoft-ngl.nic.in/Ptaxnagaland/TaxPayer/Schedule,Nagaland professional tax schedule,portal,Online registration and e-payment,search_excerpt,2026-09-14
ML_PT,https://megtaxation.nic.in/,Meghalaya taxation services,portal,Professional tax establishment registration and payment,search_excerpt,2026-09-14
MZ_PT,https://zotax.nic.in/files/tax_schedules/Final%20Profession%20Tax%20Slab%202024.pdf,Mizoram profession-tax schedule 2024,notification,Profession tax exists; use current schedule instead of original 1995 rates,search_excerpt,2026-09-14
TR_PT,https://www.indiacode.nic.in/handle/123456789/18126?sam_handle=123456789%2F2509,Tripura profession-tax statute,statute,State profession-tax law; latest rates and procedure not checked,search_excerpt,2026-09-14
SK_PT,https://sfc.sikkim.gov.in/reportdoc/reportdoc-wKBcuSz1eg9b2V0SzH3xI69EjwrxooYRP9NciYGN.pdf,Sikkim Sixth Finance Commission report,official_report,Evidence of profession-tax collection; rates and application procedure not checked,search_excerpt,2026-09-14
LA_PCB,https://www.ldocmms.nic.in/,Ladakh pollution online consent system,portal,Separate Ladakh CTE/CTO application system,opened_page,2026-09-14
LA_PCB_RELEASE,https://ladakh.gov.in/steering-committee-approves-ladakh-state-action-plan-on-clean-air/,Ladakh OCMMS launch 29 January 2025,official_release,Paperless consent application platform; inspection exemption not stated,opened_page,2026-09-14
BIS,https://www.bis.gov.in/product-certification/products-under-compulsory-certification/?lang=en,BIS compulsory certification list,guidance,QCO-covered products require certification; others may be voluntary,search_excerpt,2026-09-14
BIS_FAQ,https://www.bis.gov.in/product-certification/product-certification-faq/?lang=en,BIS certification FAQs,guidance,Product certification application and testing framework,search_excerpt,2026-09-14
CDSCO,https://www.cdsco.gov.in/opencms/opencms/en/IT-cell/,CDSCO online services,portal,SUGAM drug/device import and other applications,search_excerpt,2026-09-14
MEDDEV,https://www.cdsco.gov.in/opencms/opencms/en/Medical-Device-Diagnostics/Medical-Device-Diagnostics/,CDSCO medical devices guidance,guidance,Medical Devices Rules 2017 and risk-specific permissions,search_excerpt,2026-09-14
COSMETICS,https://www.cdsco.gov.in/opencms/en/Cosmetics/cosmetics/,CDSCO cosmetics guidance,guidance,Cosmetics import registration,search_excerpt,2026-09-14
PESO,https://www.peso.gov.in/sites/default/files/2024-08/Revised%20FAQs%20on%20PR%202002%20PDF.pdf,PESO Petroleum Rules FAQs July 2024,guidance,Application via NSWS and PESO; licence-class requirements,search_excerpt,2026-09-14
LM,https://consumeraffairs.gov.in/pages/legal-metrology-overview,Legal metrology overview,guidance,"Packaged declarations, model approval and weighing instruments",opened_page,2026-09-14
LM_FAQ,https://consumeraffairs.nic.in/sites/default/files/file-uploads/latestnews/LM_FAQs.pdf,Legal Metrology FAQs,guidance,Rule 27 packer/importer registration within ninety days,search_excerpt,2026-09-14
GOA_LM,https://clm.goa.gov.in/service/registration-of-manufacturer-packer-importer/,Goa packaged-commodity registration service,guidance,Goa online application routing,search_excerpt,2026-09-14
RBI_FIRMS,https://firms.rbi.org.in/,RBI FIRMS portal,portal,"FC-GPR, FC-TRS, LLP-I/II and convertible-note Single Master Form",opened_page,2026-09-14
CERT,https://www.cert-in.org.in/PDF/CERT-In_Directions_70B_28.04.2022.pdf,CERT-In directions 28 April 2022,notification,Report specified incidents within six hours; keep ICT logs 180 days,search_excerpt,2026-09-14
DPDP,https://www.meity.gov.in/documents/act-and-policies/digital-personal-data-protection-rules-2025-gDOxUjMtQWa?pageTitle=Digital-Personal-Data-Protection-Rules-2025,DPDP Rules 2025 official documents,notification,Phased commencement must be checked before activating obligations,search_excerpt,2026-09-14
FCRA,https://fcraonline.gov.in/Home/PDF_Doc/fc_faq_04102022.pdf,FCRA official FAQs October 2022,guidance,Annual FC-4 filing within nine months of FY end; online route,search_excerpt,2026-09-14
IP,https://ipindia.gov.in/pages/e-services,IP India e-services directory,portal,"Trademark, patent and design electronic services",search_excerpt,2026-09-14
TM_RULES,https://ipindia.gov.in/tm-rules-2017,Trade Marks Rules 2017,rules,TM-R renewal application window,opened_page,2026-09-14
PARIVESH,https://environmentclearance.nic.in/report/downloadForm.html,PARIVESH clearance forms,form,"EC, forest, wildlife and CRZ clearance categories",opened_page,2026-09-14
AR_SW,https://eodb.arunachal.gov.in/active-services,Arunachal active approval services,directory,CTE and industry-specific applications; not universal online completion,search_excerpt,2026-09-14
CG_SW,https://www.invest.cg.gov.in/one-click,Chhattisgarh OneClick,portal,State investment approval routing,opened_page,2026-09-14
MH_SW,https://maitri.mahaonline.gov.in/,MAITRI migration notice,portal,New registrations moved to maitri.maharashtra.gov.in,search_excerpt,2026-09-14
ML_SW,https://invest.meghalaya.gov.in/SingleWindowPortalDashboard.aspx,Meghalaya approval dashboard,directory,Business licence and departmental approval inventory,search_excerpt,2026-09-14
HP_SW,https://emerginghimachal.hp.gov.in/,Himachal single-window system,portal,Industry approvals and service routing,search_excerpt,2026-09-14
NL_SW,https://eodb.nagaland.gov.in/,Nagaland EoDB portal,portal,State business approvals routing,search_excerpt,2026-09-14
JK_SW,https://singlewindow.jk.gov.in/serviceplus/,Jammu and Kashmir single-window portal,portal,Online approval applications,opened_page,2026-09-14
RJ_SW,https://swcs.rajasthan.gov.in/ApprovalsList.aspx,Rajasthan approval list,directory,Service listing returned loading error; no individual procedure verified,opened_page,2026-09-14
EPF_ECR,https://www.epfindia.gov.in/site_docs/PDFs/Circulars/Y2012-2013/NDC_ECR.pdf,EPFO ECR implementation circular,notification,ECR replaces separate routine monthly/annual paper returns,search_excerpt,2026-09-14
DIN_2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2210552&lang=2&reg=48,MCA director KYC reform 1 January 2026,official_release,Three-year KYC cycle from 31 March 2026,search_excerpt,2026-09-14
GST_BIO,https://www.mahagst.gov.in/public/uploads/gstnadvisory/1760597425_330%20Advisory%20for%20GST%20Registration%20Process%20%28Rule%208%20of%20CGST%20Rules%2C%202017%29.pdf,GST registration biometric advisory,guidance,GSK visit and original-document verification in identified cases,search_excerpt,2026-09-14
POSH_ACT,https://www.indiacode.nic.in/bitstream/123456789/2104/1/A2013-14.pdf,POSH Act 2013,statute,"Internal Committee, employer duties and annual reporting",search_excerpt,2026-09-14
FORM141,https://www.incometaxindia.gov.in/documents/d/guest/form-141-faqs,Income-tax Form 141 FAQs,guidance,Replaces old 26QB/26QC/26QD/26QE for relevant new-law periods,search_excerpt,2026-09-14
CSR,https://csrxchange.gov.in/Frontend/faq,MCA CSR FAQs,guidance,Section 135 thresholds and CSR framework,search_excerpt,2026-09-14
LLP3,https://www.mca.gov.in/content/dam/mca/mca-forms-instruction-kit/InstructionKit_LLPForm%20No%203.pdf,LLP Form 3 instruction kit,guidance,Agreement filing and linked partner-change forms,search_excerpt,2026-09-14
EPR_PLASTIC,https://eprplastic.cpcb.gov.in/,CPCB plastic EPR portal,guidance,PIBO and processor registration; common EPR SSO,search_excerpt,2026-09-14
EPR_BATTERY,https://eprbattery.cpcb.gov.in/,CPCB battery EPR portal,guidance,"Producer, recycler and refurbisher registration",search_excerpt,2026-09-14
EPR_EWASTE,https://www.eprewaste.cpcb.gov.in/,CPCB e-waste portal,guidance,Registration and EPR targets for covered equipment,search_excerpt,2026-09-14
EPR_TYRE,https://eprtyres.cpcb.gov.in/assets/Guidance_Document_for_Generation_and_Transfer_of_EPR_Certificate_for_wastetyremanagement.pdf,CPCB waste tyre certificate guidance,guidance,Producer obligations and recycler supporting data,search_excerpt,2026-09-14
EPR_OIL,https://eprusedoil.cpcb.gov.in/page/1,CPCB used oil EPR portal,guidance,2023 used-oil EPR framework,search_excerpt,2026-09-14
EPR_CD,https://cdwm.cpcb.gov.in/about-system,CPCB construction and demolition waste system,guidance,"Registration, EPR and waste-utilisation platform",search_excerpt,2026-09-14
FSSAI_RETURN,https://www.youtube.com/watch?v=wZsnpaihOcU,FSSAI official annual-return announcement 27 April 2026,guidance,FY 2025-26 return due 31 May 2026; online only,search_excerpt,2026-09-14
FOSCOS,https://foscos.fssai.gov.in/,FoSCoS announcements and services,guidance,"Annual return, modification and recall services",search_excerpt,2026-09-14
ESANCHIT,https://www.icegate.gov.in/services/e-sanchit,ICEGATE e-Sanchit,guidance,Electronic supporting-document submission,search_excerpt,2026-09-14
ICEGATE_MANUAL,https://www.icegate.gov.in/sites/default/files/2024-05/User%20Manual%20Main%20Website_v1.02_0.pdf,ICEGATE website manual,guidance,Customs online services and supporting documents,search_excerpt,2026-09-14
CGWA,https://cgwb.gov.in/en/ground-water-regulation,CGWB groundwater regulation,guidance,CGWA and state groundwater jurisdiction,search_excerpt,2026-09-14
PSARA,https://www.mha.gov.in/sites/default/files/2023-01/FAQ_10012023.pdf,MHA PSARA FAQs,guidance,State/UT controlling authority and online licence portal,search_excerpt,2026-09-14
RERA_KL,https://rera.kerala.gov.in/storage/documents/195.pdf,Kerala RERA registration clarification,guidance,Kerala interpretation of area/apartment registration tests,search_excerpt,2026-09-14
TRANSPORT,https://parivahan.gov.in/content/about-permit,Parivahan permits,guidance,Transport-vehicle permit categories,search_excerpt,2026-09-14
FITNESS,https://parivahan.gov.in/sites/default/files/FAQDOCS/VAHANSERVICES/FitnessCertificate/stepBystep.pdf,Parivahan fitness application guide,guidance,Online application and fitness process,search_excerpt,2026-09-14
DOT_ETA,https://eservices.dot.gov.in/taxonomy/term/307,DoT equipment type approval,guidance,Self-declaration route for qualifying finished products,search_excerpt,2026-09-14
DOT_AUTH,https://eservices.dot.gov.in/authorisation-portal,DoT authorisation portal,guidance,Telecom/radio authorisation discovery,search_excerpt,2026-09-14
DGMS,https://www.dgms.gov.in/,DGMS services,guidance,Mine-safety authority and notices,search_excerpt,2026-09-14
CROP,https://www.cgg.gov.in/it_project/comprehensive-registration-of-pesticides-crop/,Government CROP/PQMS project description,guidance,Pesticide registration and plant quarantine systems,search_excerpt,2026-09-14
PQMS,https://pqms.cgg.gov.in/pqms-angular/login,Plant Quarantine Management System,guidance,Plant quarantine online system,search_excerpt,2026-09-14
MH_PT,https://www.mahagst.gov.in/user-registration/pt,Maharashtra PT registration,guidance,PTRC and PTEC online registration,search_excerpt,2026-09-14
KA_PT,https://ptax.karnataka.gov.in/,Karnataka profession tax portal,guidance,Online PT services; annual payment extension to 5 May 2026,search_excerpt,2026-09-14
KA_PT_RATE,https://ptax.karnataka.gov.in/ptemployer/documents/ptnotificationfeb%20-%2015.04.2025.pdf,Karnataka 2025 PT schedule amendment,notification,February rate amendment from 1 April 2025,search_excerpt,2026-09-14
WB_PT,https://professiontax.wb.gov.in/new-enrol/enrol-landing,West Bengal PT enrolment,guidance,Online enrolment within ninety days for covered schedule entries,search_excerpt,2026-09-14
WB_PT_PAPER,https://comtax.wb.gov.in/,West Bengal Commercial Taxes notices,guidance,No paper PT return; August 2026 schedule amendments require review,search_excerpt,2026-09-14
ML_SERVICES,https://invest.meghalaya.gov.in/InformationWizard.aspx,Meghalaya approval inventory,guidance,Listed approval categories; some department labels appear mismatched,search_excerpt,2026-09-14
MCD_GTL,https://mcdonline.nic.in/gtlmcd/web/citizen/gtl/downloadGTLdocuments/gtlsop,MCD general trade licence SOP,guidance,"Online application, payment and applicant-generated licence",search_excerpt,2026-09-14
CHENNAI_TRADE,https://chennaicorporation.gov.in/gcc/online-services/trade-license/,Chennai trade licence services,guidance,Online new and renewal routes,search_excerpt,2026-09-14
CHENNAI_SOP,https://portal.chennaicorporation.gov.in/gcc/pdf/REVENUE_HELP.pdf,Chennai revenue service SOP,guidance,Category-specific trade-licence routes and service timelines,search_excerpt,2026-09-14
CHENNAI_DOCS,https://www.chennaicorporation.gov.in/images/trade%20licence.pdf,Chennai trade document circular 23 October 2017,notification,Simplified initial online upload; additional records during processing,search_excerpt,2026-09-14
IF-FLA,https://www.indiafilings.com/learn/what-is-fla-return,IndiaFilings: FLA return,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-FLA-OLD,https://www.indiafilings.com/learn/fla-return-filing,IndiaFilings: FLA article with legacy email procedure,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-PAS6,https://www.indiafilings.com/learn/form-pas-6,IndiaFilings: PAS-6 reconciliation,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-SH7,https://www.indiafilings.com/learn/eform-sh-7,IndiaFilings: Share capital alteration,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-ADT3,https://www.indiafilings.com/learn/removal-or-change-of-auditor-of-company,IndiaFilings: Auditor resignation,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-APEDA,https://www.indiafilings.com/learn/apeda-registration,IndiaFilings: APEDA registration,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-DARPAN,https://www.indiafilings.com/darpan-registration,IndiaFilings: NGO Darpan,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-GSTCANCEL,https://www.indiafilings.com/gst/cancellation,IndiaFilings: GST cancellation,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-GSTR10,https://www.indiafilings.com/learn/gstr-10-filing,IndiaFilings: GST final return,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-LLP24,https://www.indiafilings.com/learn/llp-form-24-easily-close-a-llp,IndiaFilings: LLP strike-off,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-STK2,https://www.indiafilings.com/learn/strike-off-company,IndiaFilings: Company strike-off,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-DORMANT,https://www.indiafilings.com/dormant-company,IndiaFilings: Dormant status and return,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-TMREPLY,https://www.indiafilings.com/trademark-objection/trademark-objection-process-explained-for-india,IndiaFilings: Trademark examination reply,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-TMOPPOSE,https://www.indiafilings.com/trademark-opposition,IndiaFilings: Trademark opposition,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-STARTUP,https://www.indiafilings.com/start-up-india,IndiaFilings: DPIIT recognition,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-REVIVE,https://www.indiafilings.com/learn/company-revival-procedure,IndiaFilings: Company restoration,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
IF-HOME,https://www.indiafilings.com/,IndiaFilings: Core service groups,secondary_commercial,Secondary discovery only; government source governs conflicting legal/procedural claims,search_excerpt,2026-09-15
RBI_FLA_CURRENT,https://www.rbi.org.in/Scripts/FAQView.aspx?Id=95,RBI FLA FAQs,guidance,"Applicability, July 15, FLAIR; special AIF route; revision permission",opened_page,2026-09-15
MCA_PAS6,https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_PAS-6.pdf,MCA PAS-6 instruction kit,guidance,"Half-year reconciliation within sixty days; source excerpt, direct open failed",search_excerpt,2026-09-15
MCA_SH7,https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction%20Kit_SH-7.pdf,MCA SH-7 instruction kit,guidance,Purpose-specific capital alteration and attachments,search_excerpt,2026-09-15
MCA_ADT3,https://www.mca.gov.in/Ministry/pdf/NCARules_Chapter10.pdf,MCA Audit and Auditors Rules,guidance,ADT-3 resignation form; use current webform interface,search_excerpt,2026-09-15
APEDA_CURRENT,https://apeda.gov.in/sites/default/files/documents/2026-06/Registration_Procedure.pdf,APEDA registration procedure,guidance,"DGFT e-RCMC, five-year validity and applicant-specific documents",search_excerpt,2026-09-15
APEDA_FAQ,https://apeda.gov.in/APEDA-FAQ,APEDA FAQ,guidance,RCMC via DGFT since 17 July 2023,search_excerpt,2026-09-15
NITI_DARPAN,https://www.niti.gov.in/divisions/cell/voluntary-action-cell,NITI Aayog Voluntary Action Cell,guidance,Darpan ID grant/FCRA/banking-related requirements,search_excerpt,2026-09-15
GST_WELCOME,https://tutorial.gst.gov.in/downloads/news/welcome_kit_for_new_taxpyers.pdf,GSTN taxpayer welcome kit,guidance,Final return within three months of later cancellation/order date,search_excerpt,2026-09-15
MCA_LLP24,https://www.mca.gov.in/content/dam/mca-aem-forms/instructionkits/Instruction_Kit_LLP_Form_No_24.pdf,MCA LLP Form 24 kit,guidance,"Strike-off eligibility, cessation date, regulator NOC",search_excerpt,2026-09-15
MCA_MSC3,https://www.mca.gov.in/MCA21/dca/help/instructionkit/NCA/Form_MSC-3_help.pdf,MCA MSC-3 instruction kit,guidance,Dormant return within thirty days of FY end; legacy interface details,search_excerpt,2026-09-15
DPIIT_2026,https://www.dpiit.gov.in/static/uploads/2026/02/119e52e2a36f652215a32c3ccc5f9c66.pdf,"DPIIT notification 108(E), 4 February 2026",guidance,Revised normal/deep-tech thresholds and recognised entity classes,search_excerpt,2026-09-15
STARTUP_ROUTE,https://www.startupindia.gov.in/content/sih/en/startupgov/startup_recognition_page.html,Startup India recognition services,guidance,NSWS recognition application; separate tax-benefit eligibility,search_excerpt,2026-09-15
AX_DOLR,https://dolr.gov.in/en/citizen-centric-services/,DoLR citizen services and state RoR directory,official_research,State portal routing and registration overview,opened_page,2026-09-15
AX_SCI,https://api.sci.gov.in/supremecourt/2024/41857/41857_2024_14_1502_67116_Judgement_19-Dec-2025.pdf,"Supreme Court judgment, 19 December 2025",official_research,Mutation entries are fiscal records and do not create title,search_excerpt,2026-09-15
AX_REG,https://www.indiacode.nic.in/bitstream/123456789/19013/1/the_registration_act%2C_1908.pdf,Registration Act 1908,official_research,Presentation period and registration framework; local amendments require review,search_excerpt,2026-09-15
AX_WB_LAND,https://banglarbhumi.gov.in/BanglarBhumi/Forms,Banglarbhumi forms,official_research,Mutation and land revenue (Khajna) services,search_excerpt,2026-09-15
AX_WB_REV,https://banglarbhumi.gov.in/BanglarBhumi/RevenueApplication.action,Banglarbhumi revenue application,official_research,Khatian and plot-based revenue application,search_excerpt,2026-09-15
AX_WB_MUT,https://wb.gov.in/government-schemes-details-mutation-of-land-records.aspx,West Bengal mutation service,official_research,Online mutation application/tracking,search_excerpt,2026-09-15
