property_profile_id,jurisdiction_id,record_terms,terms_status,ror_url,registration_url,mutation_url,land_revenue_url,source_id,service_source_id,route_status,physical_steps_status,restriction_review,title_note,checked_on
PROP-GJ,IN-GJ,Local terminology unresolved,unresolved,https://anyror.gujarat.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-HR,IN-HR,Local terminology unresolved,unresolved,https://jamabandi.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-HP,IN-HP,Local terminology unresolved,unresolved,https://himbhoomilmk.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-JK,IN-JK,Local terminology unresolved,unresolved,https://jkrevenue.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-JH,IN-JH,Local terminology unresolved,unresolved,https://jharbhoomi.jharkhand.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-KA,IN-KA,RTC; mutation record,source_scoped,https://landrecords.karnataka.gov.in/,,https://landrecords.karnataka.gov.in/,,AX_DOLR,AX_KA,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-KL,IN-KL,Local terminology unresolved,unresolved,https://revenue.kerala.gov.in/,,,https://www.revenue.kerala.gov.in/revenueportalbeta/index.php,AX_DOLR,AX_KL,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-LA,IN-LA,Local terminology unresolved,unresolved,https://landrecords.ladakh.gov.in/lalr,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-LD,IN-LD,Local terminology unresolved,unresolved,https://land.utl.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-MP,IN-MP,Local extract terminology requires confirmation,unresolved,https://mpbhulekh.gov.in/,,,,AX_DOLR,AX_MP_ROUTE,official_route_identified_endpoint_not_tested,unverified,DoLR directory .com link superseded here by official district-confirmed mpbhulekh.gov.in. Current parcel restrictions remain unresolved.,"Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-MH,IN-MH,7/12; 8A; Ferfar; Property Card,source_scoped,https://mahabhumi.gov.in/,,https://mahabhumi.gov.in/,,AX_DOLR,AX_MH,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-MN,IN-MN,Local terminology unresolved,unresolved,https://louchapathap.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-ML,IN-ML,Local terminology unresolved,unresolved,,,https://www.meghalaya.gov.in/services/content/36145,,AX_DOLR,AX_ML_MUT,mutation_service_identified_ror_unresolved,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-MZ,IN-MZ,Local terminology unresolved,unresolved,,,,,AX_DOLR,AX_DOLR,route_unresolved,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-NL,IN-NL,Local terminology unresolved,unresolved,,,,,AX_DOLR,AX_DOLR,route_unresolved,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-OD,IN-OD,Local terminology unresolved,unresolved,https://bhulekh.ori.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-PY,IN-PY,Nilamagal land records,source_scoped,https://nilamagal.py.gov.in/public/,https://epathirapathivu.py.gov.in/,,,AX_DOLR,AX_PY,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-PB,IN-PB,Local terminology unresolved,unresolved,https://revenue.punjab.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-RJ,IN-RJ,Local terminology unresolved,unresolved,https://apnakhata.raj.nic.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-SK,IN-SK,Local terminology unresolved,unresolved,https://ilrms.sikkim.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-TN,IN-TN,Patta; Chitta; FMB; Integrated Land Record,source_scoped,https://eservices.tn.gov.in/,,,,AX_DOLR,AX_TN,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-TG,IN-TG,Pattadar; Bhu Bharati mutation,source_scoped,https://bhubharati.telangana.gov.in/,,https://bhubharati.telangana.gov.in/,,AX_DOLR,AX_TG,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-TR,IN-TR,Local terminology unresolved,unresolved,https://jami.tripura.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-UP,IN-UP,Local terminology unresolved,unresolved,https://upbhulekh.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-UK,IN-UK,Local terminology unresolved,unresolved,https://bhulekh.uk.gov.in/,,,,AX_DOLR,AX_DOLR,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
PROP-WB,IN-WB,Khatian; plot/dag; Khajna,source_scoped,https://banglarbhumi.gov.in/,https://wbregistration.gov.in/,https://banglarbhumi.gov.in/,https://banglarbhumi.gov.in/,AX_DOLR,AX_WB_REV,directory_listed_endpoint_not_tested,unverified,"Verify current tenure, protected/tribal-area, agricultural-buyer, ceiling, conversion and lease restrictions for the parcel; no eligibility inferred.","Mutation/RoR and revenue receipts alone do not establish title; independently examine deeds, encumbrances, litigation and possession.",2026-09-15
