rule_trigger_id,rule_id,trigger_id
S-MH-PT-REG-V1-industry,S-MH-PT-REG-V1,industry
S-KA-PT-REG-V1-location,S-KA-PT-REG-V1,location
S-KA-PT-REG-V1-employee,S-KA-PT-REG-V1,employee
S-KA-PT-REG-V1-industry,S-KA-PT-REG-V1,industry
S-MN-PT-REG-V1-location,S-MN-PT-REG-V1,location
S-MN-PT-REG-V1-employee,S-MN-PT-REG-V1,employee
S-MN-PT-REG-V1-industry,S-MN-PT-REG-V1,industry
S-NL-PT-REG-V1-location,S-NL-PT-REG-V1,location
S-NL-PT-REG-V1-employee,S-NL-PT-REG-V1,employee
S-NL-PT-REG-V1-industry,S-NL-PT-REG-V1,industry
S-ML-PT-REG-V1-location,S-ML-PT-REG-V1,location
S-ML-PT-REG-V1-employee,S-ML-PT-REG-V1,employee
S-ML-PT-REG-V1-industry,S-ML-PT-REG-V1,industry
S-WB-PT-ENROL-V1-industry,S-WB-PT-ENROL-V1,industry
S-WB-PT-ENROL-V1-location,S-WB-PT-ENROL-V1,location
S-WB-PT-RETURN-V1-date,S-WB-PT-RETURN-V1,date
S-WB-PT-RETURN-V1-employee,S-WB-PT-RETURN-V1,employee
S-TN-SHOPS-REG-V1-employee,S-TN-SHOPS-REG-V1,employee
S-TN-SHOPS-REG-V1-location,S-TN-SHOPS-REG-V1,location
S-AN-SHOPS-V1-location,S-AN-SHOPS-V1,location
S-AN-SHOPS-V1-industry,S-AN-SHOPS-V1,industry
S-AN-SHOPS-V1-licence,S-AN-SHOPS-V1,licence
S-GA-LM-REG-V1-industry,S-GA-LM-REG-V1,industry
S-GA-LM-REG-V1-location,S-GA-LM-REG-V1,location
S-LA-CTE-V1-industry,S-LA-CTE-V1,industry
S-LA-CTE-V1-location,S-LA-CTE-V1,location
S-LA-CTE-V1-licence,S-LA-CTE-V1,licence
S-LA-CTO-V1-industry,S-LA-CTO-V1,industry
S-LA-CTO-V1-location,S-LA-CTO-V1,location
S-LA-CTO-V1-licence,S-LA-CTO-V1,licence
S-ML-EXCISE-V1-industry,S-ML-EXCISE-V1,industry
S-ML-EXCISE-V1-location,S-ML-EXCISE-V1,location
S-ML-EXCISE-V1-licence,S-ML-EXCISE-V1,licence
S-KL-RERA-V1-industry,S-KL-RERA-V1,industry
S-KL-RERA-V1-location,S-KL-RERA-V1,location
S-KL-RERA-V1-transaction,S-KL-RERA-V1,transaction
S-DL-MCD-GTL-V1-industry,S-DL-MCD-GTL-V1,industry
S-DL-MCD-GTL-V1-location,S-DL-MCD-GTL-V1,location
S-DL-MCD-GTL-V1-licence,S-DL-MCD-GTL-V1,licence
S-TN-GCC-TRADE-V1-industry,S-TN-GCC-TRADE-V1,industry
S-TN-GCC-TRADE-V1-location,S-TN-GCC-TRADE-V1,location
S-TN-GCC-TRADE-V1-licence,S-TN-GCC-TRADE-V1,licence
IF001-V1-date,IF001-V1,date
IF001-V1-transaction,IF001-V1,transaction
IF002-V1-date,IF002-V1,date
IF002-V1-transaction,IF002-V1,transaction
IF002-V1-law_change,IF002-V1,law_change
IF003-V1-transaction,IF003-V1,transaction
IF004-V1-transaction,IF004-V1,transaction
IF005-V1-industry,IF005-V1,industry
IF005-V1-licence,IF005-V1,licence
IF005-V1-transaction,IF005-V1,transaction
IF006-V1-transaction,IF006-V1,transaction
IF006-V1-industry,IF006-V1,industry
IF007-V1-transaction,IF007-V1,transaction
IF007-V1-location,IF007-V1,location
IF008-V1-transaction,IF008-V1,transaction
IF008-V1-date,IF008-V1,date
IF009-V1-transaction,IF009-V1,transaction
IF010-V1-transaction,IF010-V1,transaction
IF011-V1-transaction,IF011-V1,transaction
IF012-V1-date,IF012-V1,date
IF013-V1-notice,IF013-V1,notice
IF014-V1-notice,IF014-V1,notice
IF015-V1-industry,IF015-V1,industry
IF015-V1-turnover,IF015-V1,turnover
IF015-V1-transaction,IF015-V1,transaction
IF016-V1-notice,IF016-V1,notice
IF016-V1-transaction,IF016-V1,transaction
AX001-V1-transaction,AX001-V1,transaction
AX001-V1-notice,AX001-V1,notice
AX002-V1-transaction,AX002-V1,transaction
AX002-V1-date,AX002-V1,date
AX002-V1-law_change,AX002-V1,law_change
AX003-V1-date,AX003-V1,date
AX003-V1-transaction,AX003-V1,transaction
AX003-V1-location,AX003-V1,location
AX004-V1-transaction,AX004-V1,transaction
AX004-V1-date,AX004-V1,date
AX004-V1-location,AX004-V1,location
AX005-V1-transaction,AX005-V1,transaction
AX005-V1-law_change,AX005-V1,law_change
AX006-V1-transaction,AX006-V1,transaction
AX006-V1-notice,AX006-V1,notice
AX006-V1-director_partner,AX006-V1,director_partner
AX007-V1-transaction,AX007-V1,transaction
AX007-V1-director_partner,AX007-V1,director_partner
AX008-V1-transaction,AX008-V1,transaction
AX008-V1-director_partner,AX008-V1,director_partner
AX009-V1-industry,AX009-V1,industry
AX009-V1-licence,AX009-V1,licence
AX009-V1-law_change,AX009-V1,law_change
AX010-V1-industry,AX010-V1,industry
AX010-V1-licence,AX010-V1,licence
AX010-V1-law_change,AX010-V1,law_change
AX011-V1-transaction,AX011-V1,transaction
AX011-V1-location,AX011-V1,location
AX012-V1-transaction,AX012-V1,transaction
AX012-V1-location,AX012-V1,location
AX013-V1-location,AX013-V1,location
AX013-V1-transaction,AX013-V1,transaction
AX013-V1-industry,AX013-V1,industry
AX014-V1-transaction,AX014-V1,transaction
AX014-V1-location,AX014-V1,location
AX015-V1-transaction,AX015-V1,transaction
AX015-V1-location,AX015-V1,location
AX016-V1-date,AX016-V1,date
AX016-V1-notice,AX016-V1,notice
AX016-V1-transaction,AX016-V1,transaction
AX017-V1-transaction,AX017-V1,transaction
AX017-V1-location,AX017-V1,location
AX018-V1-transaction,AX018-V1,transaction
AX018-V1-location,AX018-V1,location
AX019-V1-transaction,AX019-V1,transaction
AX019-V1-location,AX019-V1,location
AX020-V1-transaction,AX020-V1,transaction
AX020-V1-location,AX020-V1,location
AX021-V1-transaction,AX021-V1,transaction
AX021-V1-location,AX021-V1,location
AX022-V1-transaction,AX022-V1,transaction
AX022-V1-location,AX022-V1,location
AX023-V1-transaction,AX023-V1,transaction
AX023-V1-location,AX023-V1,location
AX024-V1-transaction,AX024-V1,transaction
AX024-V1-location,AX024-V1,location
AX025-V1-transaction,AX025-V1,transaction
AX025-V1-location,AX025-V1,location
AX026-V1-date,AX026-V1,date
AX026-V1-notice,AX026-V1,notice
AX027-V1-transaction,AX027-V1,transaction
AX027-V1-location,AX027-V1,location
AX028-V1-transaction,AX028-V1,transaction
AX028-V1-location,AX028-V1,location
AX029-V1-transaction,AX029-V1,transaction
AX029-V1-location,AX029-V1,location
AX030-V1-industry,AX030-V1,industry
AX030-V1-location,AX030-V1,location
AX030-V1-licence,AX030-V1,licence
AX030-V1-law_change,AX030-V1,law_change
AX031-V1-industry,AX031-V1,industry
AX031-V1-location,AX031-V1,location
AX031-V1-licence,AX031-V1,licence
AX031-V1-law_change,AX031-V1,law_change
AX032-V1-industry,AX032-V1,industry
AX032-V1-location,AX032-V1,location
AX032-V1-licence,AX032-V1,licence
AX032-V1-law_change,AX032-V1,law_change
AX033-V1-industry,AX033-V1,industry
AX033-V1-location,AX033-V1,location
AX033-V1-licence,AX033-V1,licence
AX033-V1-law_change,AX033-V1,law_change
AX034-V1-industry,AX034-V1,industry
AX034-V1-location,AX034-V1,location
AX034-V1-licence,AX034-V1,licence
AX035-V1-industry,AX035-V1,industry
AX035-V1-transaction,AX035-V1,transaction
AX035-V1-licence,AX035-V1,licence
AX036-V1-transaction,AX036-V1,transaction
AX036-V1-location,AX036-V1,location
AX037-V1-transaction,AX037-V1,transaction
AX037-V1-location,AX037-V1,location
AX038-V1-transaction,AX038-V1,transaction
AX038-V1-location,AX038-V1,location
AX039-V1-transaction,AX039-V1,transaction
AX039-V1-location,AX039-V1,location
AX040-V1-transaction,AX040-V1,transaction
AX040-V1-location,AX040-V1,location
AX041-V1-transaction,AX041-V1,transaction
AX041-V1-location,AX041-V1,location
AX042-V1-date,AX042-V1,date
AX042-V1-transaction,AX042-V1,transaction
AX042-V1-notice,AX042-V1,notice
AX043-V1-transaction,AX043-V1,transaction
AX043-V1-location,AX043-V1,location
