State_UT,Professional_Tax_Applicable,PT_Registration_Type,PT_Max_Annual_Amount,PT_Return_Frequency,PT_Portal,Shops_Establishment_Act,SE_Registration_Mode,SE_Validity,SE_Portal,Trade_Licence_Authority,Trade_Licence_Mode,Notes
Odisha,Yes,PTRC (employer) / PTEC (self-employed/entity),"Rs2,500/year (capped lower for some slabs)",Monthly,Odisha Commercial Tax portal (odishatax.gov.in),Odisha Shops and Commercial Establishments Act,Digital (Odisha Labour Dept),Periodic renewal (state-specific),Odisha Labour Directorate portal,Municipal Corporation (city-specific),Hybrid,
Bihar,Yes,PTEC/PTRC,"Rs2,500/year (via slabs, Bihar levies at higher salary bands)",Annual,Bihar Commercial Tax portal (biharcommercialtax.gov.in),Bihar Shops and Establishments Act,Digital,Periodic renewal (state-specific),Bihar Labour Resources Department portal,Municipal Corporation (city-specific),Hybrid,
Jharkhand,Yes,PTRC (employer) / PTEC,"Rs2,500/year",Monthly/Annual (varies),Jharkhand Commercial Taxes Dept portal,Jharkhand Shops and Establishments Act,Digital,Periodic renewal (state-specific),Jharkhand Labour Dept portal,Municipal Corporation (city-specific),Hybrid,
Assam,Yes,PTRC (employer) / PTEC,"Rs2,500/year",Monthly,Assam Commercial Tax portal (tax.assam.gov.in),Assam Shops and Establishments Act,Digital,Periodic renewal (state-specific),Assam Labour Welfare Dept portal,Municipal Board/Corporation (city-specific),Hybrid,
Punjab,No,N/A,N/A — PT not levied,N/A,N/A,Punjab Shops and Commercial Establishments Act 1958,Digital (Punjab Labour Dept),Periodic renewal (state-specific),Punjab Labour Dept portal,Municipal Corporation (city-specific),Hybrid,Punjab does not levy Professional Tax
Uttar Pradesh,No,N/A,N/A — PT not levied,N/A,N/A,UP Shops and Commercial Establishments Act 1962,Digital (UP Labour Dept / Nivesh Mitra single window),"Lifetime (no renewal, per 2026 amendment)",https://shramsuvidha.up.gov.in / niveshmitra.up.nic.in,Nagar Nigam / Municipal Corporation (city-specific),Hybrid,UP does not levy Professional Tax
Haryana,No,N/A,N/A — PT not levied,N/A,N/A,Punjab Shops and Commercial Establishments Act 1958 (as extended to Haryana),Digital (Haryana Labour Dept / Saral Haryana),"Lifetime (no renewal, per 2026 amendment)",https://saralharyana.gov.in,Municipal Corporation (city-specific),Hybrid,Haryana does not levy Professional Tax
Rajasthan,No,N/A,N/A — PT not levied,N/A,N/A,Rajasthan Shops and Commercial Establishments Act 1958,Digital (Rajasthan Labour Dept),"Lifetime (no renewal, per 2026 amendment)",https://labour.rajasthan.gov.in,Municipal Corporation/Council (city-specific),Hybrid,Rajasthan does not levy Professional Tax
Himachal Pradesh,No,N/A,N/A — PT not levied,N/A,N/A,Himachal Pradesh Shops and Commercial Establishments Act 1969,Digital/Hybrid (HP Labour Dept),Periodic renewal (state-specific),HP Labour Dept portal,Municipal Corporation/Council (city-specific),Hybrid,HP does not levy Professional Tax
Uttarakhand,No,N/A,N/A — PT not levied,N/A,N/A,Uttarakhand Shops and Commercial Establishments Act (adopted from UP Act),Digital (Uttarakhand Labour Dept),Periodic renewal (state-specific),Uttarakhand Labour Dept portal,Municipal Corporation (city-specific),Hybrid,Uttarakhand does not levy Professional Tax
Goa,No,N/A,N/A — PT not levied,N/A,N/A,Goa Shops and Establishments Act 1973,Digital/Hybrid (Goa Labour Dept),Periodic renewal (state-specific),Goa Labour Dept portal,Municipal Corporation/Council (city-specific),Hybrid,Goa does not levy Professional Tax
Chhattisgarh,Yes,PTRC (employer) / PTEC,"Rs2,500/year",Monthly/Annual (varies),Chhattisgarh Commercial Tax portal,Chhattisgarh Shops and Establishments Act (adopted from MP Act),Digital,Periodic renewal (state-specific),Chhattisgarh Labour Dept portal,Municipal Corporation (city-specific),Hybrid,
Puducherry,Yes,PTEC/PTRC,"Rs2,500/year",Half-yearly,Puducherry Commercial Tax portal,Puducherry Shops and Establishments Act,Digital/Hybrid,Periodic renewal (UT-specific),Puducherry Labour Dept portal,Puducherry Municipality,Hybrid,
Jammu & Kashmir (UT),No,N/A,N/A — PT not levied,N/A,N/A,J&K Shops and Establishments Act,Hybrid,Periodic renewal (UT-specific),J&K Labour Dept portal,Municipal Corporation/Committee (city-specific),Hybrid,J&K does not levy Professional Tax
Chandigarh (UT),No,N/A,N/A — PT not levied,N/A,N/A,Punjab Shops and Commercial Establishments Act 1958 (as extended to Chandigarh),Hybrid,Periodic renewal (UT-specific),Chandigarh Labour Dept portal,Chandigarh Municipal Corporation,Hybrid,Chandigarh does not levy Professional Tax
