Department_Entity,Compliance_Category,Compliance_Name,Governing_Law,Jurisdiction,Applicable_Entity_Types,Turnover_Applicability,Employee_Headcount_Threshold,Trigger_Type,Frequency,Due_Date_Timeline,Digital_or_Physical,Official_Website,Key_Documents_Required,Penalty_Late_Fee,Notes
GST,GST & Indirect Tax,LUT for Exports (RFD-11),"CGST Rules, Rule 96A",Central,Exporters (goods/services) wanting to export without IGST payment,N/A,N/A,Industry Trigger,Annual,Before start of financial year,Digital only,https://www.gst.gov.in,"Self-declaration, authorized signatory KYC",Export shipments without LUT attract IGST + refund process,Must be renewed every financial year
GST,GST & Indirect Tax,E-Way Bill,"CGST Rules, Rule 138",Central,BIZ,N/A,N/A,Transaction Trigger,Per transaction,"Before movement of goods >Rs50,000 value",Digital only,https://ewaybillgst.gov.in,"Invoice/delivery challan, transporter/vehicle details",Detention of goods + penalty equal to tax amount,Mandatory for interstate movement above threshold; intrastate rules vary by state
MCA/ROC,MCA / ROC,Name Reservation (Part A of SPICe+ / RUN),Companies Act 2013,Central,"Private Ltd, Public Ltd",N/A,N/A,Director/Partner Trigger,One-time,Before incorporation,Digital only,https://www.mca.gov.in,"Proposed name(s), significance of name",Application lapses if not used within validity (20 days),
MCA/ROC,MCA / ROC,Company Incorporation (SPICe+ Part B + AGILE-PRO-S),Companies Act 2013,Central,"Private Ltd, Public Ltd",N/A,N/A,Director/Partner Trigger,One-time,N/A,Digital only (MCA V3 portal),https://www.mca.gov.in,"MOA, AOA, director/subscriber KYC, DSC, registered office proof, NOC from owner",N/A,"AGILE-PRO-S integrates GSTIN, EPFO, ESIC, Profession Tax (select states) and bank account applications at incorporation"
MCA/ROC,MCA / ROC,INC-20A (Commencement of Business),"Companies Act 2013, Sec 10A",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,One-time,Within 180 days of incorporation (companies with share capital),Digital only,https://www.mca.gov.in,Bank statement showing subscription money received,"Rs50,000 company penalty + Rs1,000/day for officers; risk of company being struck off",Company cannot commence business/borrow before filing this
MCA/ROC,MCA / ROC,First Board Meeting & Statutory Registers,"Companies Act 2013, Sec 173",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,One-time then ongoing,Within 30 days of incorporation,Physical (minutes book) — increasingly maintained digitally too,https://www.mca.gov.in,"Board minutes, attendance register",Penalty under Sec 173/450,
MCA/ROC,MCA / ROC,ADT-1 (Auditor Appointment),"Companies Act 2013, Sec 139",Central,"Private Ltd, Public Ltd",N/A,N/A,Director/Partner Trigger,Event-based (post-AGM),Within 15 days of AGM (first auditor: 30 days of incorporation by board),Digital only,https://www.mca.gov.in,"Auditor consent letter, eligibility certificate","Rs100/day, no cap",
MCA/ROC,MCA / ROC,AOC-4 (Financial Statements),"Companies Act 2013, Sec 137",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Annual,"Within 30 days of AGM (OPC: 180 days of FY end, no AGM)",Digital only,https://www.mca.gov.in,"Board's report, auditor's report, financial statements, AOC-2","Rs100/day, no upper cap",AOC-4 XBRL applies to listed/large companies; AOC-4 CFS for companies with subsidiaries
MCA/ROC,MCA / ROC,MGT-7 / MGT-7A (Annual Return),"Companies Act 2013, Sec 92",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Annual,Within 60 days of AGM,Digital only,https://www.mca.gov.in,"Shareholding pattern, director details, board meeting record, indebtedness","Rs100/day, no upper cap",MGT-7A (simplified) for Small Companies and OPCs
MCA/ROC,MCA / ROC,Annual General Meeting (AGM),"Companies Act 2013, Sec 96",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Annual,Within 6 months of FY end (max 9 months for 1st AGM); by 30 Sept for March year-end,Physical or hybrid (video-conferencing permitted per MCA circulars),https://www.mca.gov.in,"Notice, agenda, financial statements to be tabled",Penalty under Sec 99,OPCs are exempt from holding AGM
MCA/ROC,MCA / ROC,DIR-3 KYC,"Companies Act 2013, Rule 12A",Central,"Private Ltd, Public Ltd directors, LLP designated partners",N/A,N/A,Director/Partner Trigger,"Annual (now triennial for unchanged details, per 2026 rule change)",30 September (Web form if unchanged; full e-form if PAN/mobile/email changed),Digital only,https://www.mca.gov.in,"PAN, Aadhaar, mobile/email OTP verification, DSC","DIN deactivation + Rs5,000 reactivation fee","From 31 Mar 2026, filing periodicity moved to once every 3 years for unchanged KYC"
MCA/ROC,MCA / ROC,DPT-3 (Return of Deposits),"Companies Act 2013, Rule 16",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Annual,30 June (for position as on 31 March),Digital only,https://www.mca.gov.in,"Auditor certificate, deposit/loan details","Rs5,000 + Rs500/day continuing default",Also captures non-deposit outstanding loans/advances
MCA/ROC,MCA / ROC,MSME-1 (Outstanding Dues to MSME Suppliers),"Companies Act 2013, Sec 405",Central,"Private Ltd, Public Ltd",N/A,N/A,Date Trigger,Half-yearly,30 April (Oct-Mar) and 31 October (Apr-Sep),Digital only,https://www.mca.gov.in,"MSME vendor ledger, dues outstanding beyond 45 days",Penalty under Sec 405 + Sec 43B(h) disallowance under Income Tax Act,
MCA/ROC,MCA / ROC,CHG-1 (Creation/Modification of Charge),"Companies Act 2013, Sec 77",Central,"Private Ltd, Public Ltd",N/A,N/A,Transaction Trigger,Event-based,Within 30 days of charge creation (condonation up to 60 days with fee),Digital only,https://www.mca.gov.in,"Loan/charge agreement, instrument creating charge",Additional fee scales with delay; charge becomes void against liquidator if unregistered,"Triggered by secured borrowing, property mortgage"
MCA/ROC,MCA / ROC,PAS-3 (Return of Allotment),"Companies Act 2013, Sec 39",Central,"Private Ltd, Public Ltd",N/A,N/A,Transaction Trigger,Event-based,Within 30 days of share allotment (e.g. equity funding round),Digital only,https://www.mca.gov.in,"Board resolution, list of allottees, valuation report (if applicable)","Rs100/day, no cap",Triggered by every equity fundraise/ESOP allotment
MCA/ROC,MCA / ROC,DIR-12 (Director Appointment/Cessation),"Companies Act 2013, Sec 170",Central,"Private Ltd, Public Ltd",N/A,N/A,Director/Partner Trigger,Event-based,Within 30 days of appointment/resignation,Digital only,https://www.mca.gov.in,"Board resolution, consent (DIR-2), resignation letter","Rs100/day, no cap",
MCA/ROC,MCA / ROC,INC-22 (Change of Registered Office),"Companies Act 2013, Sec 12",Central,"Private Ltd, Public Ltd",N/A,N/A,Location Trigger,Event-based,Within 30 days (15 days if within same city),Digital only,https://www.mca.gov.in,"New premises proof, NOC/rent agreement, utility bill","Rs100/day, no cap",Change across states additionally needs Regional Director approval (INC-23)
MCA/ROC,MCA / ROC,Statutory Financial Audit,"Companies Act 2013, Sec 139-143",Central,"Private Ltd, Public Ltd",Mandatory for all companies regardless of turnover,N/A,Turnover Trigger,Annual,Before AGM (audited financials needed for AOC-4),Physical/hybrid (auditor visits + digital working papers),https://www.mca.gov.in / https://www.icai.org,"Books of accounts, vouchers, bank statements, confirmations",Non-compliance risk to directors under Sec 147,Statutory audit is mandatory irrespective of turnover for companies
MCA/ROC,MCA / ROC,Secretarial Audit (MR-3),"Companies Act 2013, Sec 204",Central,Public Ltd (paid-up capital >=Rs50Cr or turnover >=Rs250Cr) & listed companies,Turnover >=Rs250Cr (Public Ltd),N/A,Turnover Trigger,Annual,Annexed to Board's Report before AGM,Physical/hybrid (PCS review),https://www.icsi.edu,"Statutory registers, filings record, minutes",Penalty under Sec 204(4),Only large/listed public companies; private companies generally exempt
MCA/ROC,MCA / ROC,LLP Incorporation (FiLLiP),LLP Act 2008,Central,LLP,N/A,N/A,Director/Partner Trigger,One-time,N/A,Digital only,https://www.mca.gov.in,"Partner KYC, DPIN/DIN, LLP agreement, registered office proof",N/A,
MCA/ROC,MCA / ROC,LLP Form 11 (Annual Return),"LLP Act 2008, Sec 35",Central,LLP,N/A,N/A,Date Trigger,Annual,30 May (60 days from FY end),Digital only,https://www.mca.gov.in,"Partner details, contribution summary, changes during year","Rs100/day, no upper cap",CS certification mandatory if contribution >Rs50L or turnover >Rs5Cr
MCA/ROC,MCA / ROC,LLP Form 8 (Statement of Account & Solvency),"LLP Act 2008, Sec 34",Central,LLP,N/A,N/A,Date Trigger,Annual,30-Oct,Digital only,https://www.mca.gov.in,"Balance sheet, P&L summary, solvency declaration, MSME creditor disclosure","Rs100/day, no upper cap",Audit mandatory if turnover >Rs40L or contribution >Rs25L
MCA/ROC,MCA / ROC,LLP ITR-5,Income Tax Act 1961,Central,LLP,N/A,N/A,Date Trigger,Annual,31 July (non-audit); 31 Oct (audit cases),Digital only,https://www.incometax.gov.in,"Financial statements, partner remuneration/interest details",Late fee u/s 234F + interest u/s 234A/B/C,
Registrar of Firms,MCA / ROC,Partnership Firm Registration,Indian Partnership Act 1932,State (varies by state),Partnership Firm,N/A,N/A,Director/Partner Trigger,One-time (optional but strongly recommended),Anytime after firm formation,Hybrid — many states now offer online submission but final certificate/verification is often physical at the district Registrar of Firms office,"State Registrar of Firms portal (varies by state, e.g. Maharashtra: rof.maharashtra.gov.in)","Partnership deed, PAN, address proof, partner ID proof",Unregistered firms cannot sue third parties to enforce contract rights,"Registration is state-subject, not via MCA; process/digitization level varies significantly by state"
Registrar of Firms,MCA / ROC,Partnership Deed Amendment Intimation,Indian Partnership Act 1932,State (varies by state),Partnership Firm,N/A,N/A,Director/Partner Trigger,Event-based,Within a reasonable time of change (varies by state),Hybrid (varies by state),State Registrar of Firms portal,"Supplementary deed, amended partner details",Firm's registered status may lapse if not updated,
NGO Compliance,MCA / ROC,Trust Deed Registration,Indian Trusts Act 1882 / State Public Trust Acts,State (Sub-Registrar / Charity Commissioner),NGO (Trust/Society/Section 8),N/A,N/A,Director/Partner Trigger,One-time,At formation,Physical (Sub-Registrar office; document + biometric verification generally required),State Sub-Registrar / Charity Commissioner portal (state-specific),"Trust deed, settlor/trustee ID & address proof, registered office proof",Trust cannot claim tax exemptions without valid registration,Public trusts in states like Maharashtra/Gujarat also register with the Charity Commissioner
NGO Compliance,MCA / ROC,Society Registration,Societies Registration Act 1860 (state amendments),State (Registrar of Societies),NGO (Trust/Society/Section 8),N/A,N/A,Director/Partner Trigger,One-time,At formation,"Hybrid — several states have moved application intake online, but deed execution/verification is typically physical",State Registrar of Societies portal (state-specific),"Memorandum of Association, rules & regulations, governing body ID proof",Unregistered society has limited legal standing,
NGO Compliance,MCA / ROC,Section 8 Company Incorporation,"Companies Act 2013, Sec 8",Central,NGO (Trust/Society/Section 8),N/A,N/A,Director/Partner Trigger,One-time,N/A,Digital only (MCA V3 portal),https://www.mca.gov.in,"MOA/AOA (non-profit objects), director KYC, licence application",N/A,Requires Central Government (Regional Director) licence in addition to standard incorporation
NGO Compliance,MCA / ROC,12A/12AB Registration (Income Tax Exemption),"Income Tax Act 1961, Sec 12AB",Central,NGO (Trust/Society/Section 8),N/A,N/A,Industry Trigger,"One-time, then renewal every 5 years",Renewal application at least 6 months before expiry,Digital only,https://www.incometax.gov.in,"Trust deed/registration certificate, activity report, financials",Loss of tax-exempt status if not renewed,Provisional registration for new NGOs valid 3 years
NGO Compliance,MCA / ROC,80G Registration (Donor Tax Benefit),"Income Tax Act 1961, Sec 80G",Central,NGO (Trust/Society/Section 8),N/A,N/A,Industry Trigger,"One-time, then renewal every 5 years",Along with/after 12AB renewal,Digital only,https://www.incometax.gov.in,"12A certificate, activity proof, financials",Donors lose deduction benefit if lapsed,
NGO Compliance,MCA / ROC,Form 10B / 10BB (NGO Audit Report),"Income Tax Act 1961, Sec 12A(1)(b)",Central,NGO (Trust/Society/Section 8),Mandatory if income before exemption exceeds basic exemption limit,N/A,Turnover Trigger,Annual,30 September (1 month before ITR-7 due date),Digital only,https://www.incometax.gov.in,"Audited financials, application-of-income statement",Exemption denial for late/non-filing,"Form 10B for larger NGOs, 10BB for smaller ones per prescribed criteria"
NGO Compliance,MCA / ROC,ITR-7 (NGO Annual Return),Income Tax Act 1961,Central,NGO (Trust/Society/Section 8),N/A,N/A,Date Trigger,Annual,31 October (audit cases),Digital only,https://www.incometax.gov.in,"Audit report, income & application of funds statement",Late fee u/s 234F,
NGO Compliance,MCA / ROC,FCRA Registration & Annual Return (FC-4),Foreign Contribution (Regulation) Act 2010,Central,NGO (Trust/Society/Section 8) receiving foreign funds,N/A,N/A,Industry Trigger,One-time registration + Annual return,FC-4 due 31 December each year; registration renewal every 5 years,Digital only,https://fcraonline.nic.in,"Trust/society deed, 3-year activity report, FCRA-designated bank account (SBI Delhi Main Branch)","Suspension/cancellation of FCRA registration, freezing of funds",Mandatory only for NGOs receiving foreign contributions/donations
Income Tax,Income Tax & TDS,PAN Application,Income Tax Act 1961,Central,All entity types,N/A,N/A,Director/Partner Trigger,One-time,Before first transaction requiring PAN,Digital (physical verification/biometric in some cases via NSDL/UTIITSL centres),https://www.incometax.gov.in (also via https://www.protean-tinpan.com),"Identity proof, address proof, photo (for individuals)",Cannot transact/file returns without PAN,
Income Tax,Income Tax & TDS,TAN Application,"Income Tax Act 1961, Sec 203A",Central,All entities deducting/collecting TDS/TCS,N/A,N/A,Director/Partner Trigger,One-time,Before first TDS deduction,Digital,https://www.incometax.gov.in,"PAN of entity, address proof","Rs10,000 penalty for not obtaining TAN when required",
Income Tax,Income Tax & TDS,ITR Filing (Non-Audit Cases),"Income Tax Act 1961, Sec 139(1)",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Below tax audit threshold,N/A,Date Trigger,Annual,31-Jul,Digital only,https://www.incometax.gov.in,"Form 26AS/AIS, bank statements, P&L, balance sheet, investment proofs","Late fee up to Rs5,000 u/s 234F + interest","ITR-3/4 for individuals/proprietors, ITR-5 for firms/LLPs, ITR-6 for companies, ITR-7 for NGOs"
Income Tax,Income Tax & TDS,ITR Filing (Audit Cases),"Income Tax Act 1961, Sec 139(1)",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Above tax audit threshold or opted for audit,N/A,Turnover Trigger,Annual,31-Oct,Digital only,https://www.incometax.gov.in,"Tax audit report (3CA/3CB-3CD), audited financials",Late fee u/s 234F + interest u/s 234A/B/C,Transfer pricing cases get extended 31 Oct/30 Nov timeline
Income Tax,Income Tax & TDS,Tax Audit Report (Form 3CA/3CB + 3CD),"Income Tax Act 1961, Sec 44AB (Sec 63 under new Income Tax Act 2025)",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",Business: turnover >Rs1Cr (>Rs10Cr if cash receipts & payments each <=5% of total); Profession: gross receipts >Rs50L (>Rs75L if >=95% receipts digital),N/A,Turnover Trigger,Annual,30 September (general); 31 October for transfer pricing cases,Digital only,https://www.incometax.gov.in,"Books of accounts, GST reconciliation, MSME payment data (Clause 26A/44)","Rs1,50,000 or 0.5% of turnover, whichever is lower, u/s 271B",Companies always use Form 3CA; others use 3CB
Income Tax,Income Tax & TDS,Transfer Pricing Report (Form 3CEB),"Income Tax Act 1961, Sec 92E",Central,Entities with international/specified domestic related-party transactions,N/A,N/A,Transaction Trigger,Annual,31-Oct,Digital only,https://www.incometax.gov.in,"Related-party transaction details, benchmarking study, TP documentation","Rs1,00,000 flat penalty u/s 271BA",Applies to cross-border group-company transactions
Income Tax,Income Tax & TDS,Advance Tax (4 Instalments),"Income Tax Act 1961, Sec 208-211",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd","Estimated annual tax liability >Rs10,000",N/A,Date Trigger,Quarterly (4 instalments),"15 Jun (15%), 15 Sep (45%), 15 Dec (75%), 15 Mar (100%)",Digital only,https://www.incometax.gov.in,Estimated income & tax computation,Interest u/s 234B (shortfall) and 234C (deferment),Senior citizens with no business income are exempt
Income Tax,Income Tax & TDS,TDS Deposit (Monthly Challan),"Income Tax Act 1961, Sec 200",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd (as deductors)",N/A,N/A,Date Trigger,Monthly,7th of following month (30 Apr for March deductions by non-govt deductors),Digital only,https://www.tin-nsdl.com / https://www.incometax.gov.in,"Challan details, deductee-wise TDS computation",Interest 1%-1.5% p.m. u/s 201(1A),
Income Tax,Income Tax & TDS,TDS Return - Form 24Q (Salary),"Income Tax Act 1961, Sec 200(3) (renumbered Form 138 under new Act)",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd with employees",N/A,N/A,Date Trigger,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)",Digital only (TRACES/e-filing),https://www.tdscpc.gov.in,"Salary TDS computation, PAN of employees","Rs200/day u/s 234E (capped at TDS amount) + Rs10,000-1,00,000 u/s 271H",
Income Tax,Income Tax & TDS,"TDS Return - Form 26Q (Non-Salary, Resident)",Income Tax Act 1961 (renumbered Form 140),Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Date Trigger,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)",Digital only,https://www.tdscpc.gov.in,"Vendor/contractor TDS details, PAN",Rs200/day u/s 234E,"Covers TDS on rent, professional fees, contractor payments etc."
Income Tax,Income Tax & TDS,TDS Return - Form 27Q (Non-Resident Payments),Income Tax Act 1961 (renumbered Form 139),Central,Entities making payments to non-residents,N/A,N/A,Date Trigger,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)",Digital only,https://www.tdscpc.gov.in,"Form 15CA/15CB, DTAA documentation",Rs200/day u/s 234E,
Income Tax,Income Tax & TDS,TCS Return - Form 27EQ,"Income Tax Act 1961, Sec 206C",Central,"Entities collecting TCS (e-commerce, scrap dealers, large sellers etc.)",N/A,N/A,Date Trigger,Quarterly,"31 Jul, 31 Oct, 31 Jan, 31 May (Q4)",Digital only,https://www.tdscpc.gov.in,TCS collection details,Rs200/day u/s 234E,
Income Tax,Income Tax & TDS,Form 16 (Salary TDS Certificate),"Income Tax Act 1961, Rule 31",Central,Employers,N/A,N/A,Date Trigger,Annual,15-Jun,Digital only,https://www.tdscpc.gov.in,Generated from TRACES after Q4 Form 24Q filing,Rs100/day per certificate,
Income Tax,Income Tax & TDS,Form 16A (Non-Salary TDS Certificate),"Income Tax Act 1961, Rule 31",Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Date Trigger,Quarterly,Within 15 days of quarterly TDS return due date,Digital only,https://www.tdscpc.gov.in,Generated from TRACES,Rs100/day per certificate,
Income Tax,Income Tax & TDS,Form 26QB (TDS on Property Purchase),"Income Tax Act 1961, Sec 194-IA",Central,Buyers of immovable property >=Rs50L,N/A,N/A,Transaction Trigger,Event-based,Within 30 days from end of month of payment,Digital only,https://www.tin-nsdl.com,"Sale deed, seller PAN, payment details",Interest + late fee u/s 234E,1% TDS on property transactions above threshold
Income Tax,Income Tax & TDS,Form 15CA/15CB (Foreign Remittance),"Income Tax Act 1961, Sec 195",Central,Entities remitting funds abroad,N/A,N/A,Transaction Trigger,Event-based,Before remittance,Digital only,https://www.incometax.gov.in,"CA certificate (15CB), remittance purpose & DTAA details",Penalty for non-filing/incorrect filing,15CB (CA certification) needed for most taxable remittances above threshold
Income Tax,Income Tax & TDS,Form 61A (Statement of Financial Transactions - SFT),"Income Tax Act 1961, Sec 285BA",Central,"Entities crossing specified transaction thresholds (banks, registrars, large cash dealers etc.)",N/A,N/A,Transaction Trigger,Annual,31-May,Digital only,https://www.incometax.gov.in,High-value transaction records,"Rs500/day (Rs1,000/day after notice) u/s 271FA",
EPFO,"Labour, HR & Payroll",EPF Registration,Employees' Provident Funds & Misc. Provisions Act 1952,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,"Mandatory at 20+ employees; voluntary below 20 (once covered, stays covered permanently)",Employee Trigger,One-time,Within statutory timeline of crossing threshold,Digital only,https://www.epfindia.gov.in (Unified Portal: unifiedportal-emp.epfindia.gov.in),"Employee headcount proof, PAN, address proof, bank details, DSC",N/A,Registration is often bundled into company incorporation via AGILE-PRO-S
EPFO,"Labour, HR & Payroll",EPF Monthly ECR (Electronic Challan-cum-Return),EPF Act 1952,Central,Registered EPF establishments,N/A,"N/A (post-registration, applies at any headcount)",Date Trigger,Monthly,15th of following month,Digital only,https://unifiedportal-emp.epfindia.gov.in,"Employee-wise wage & contribution data, UAN details",12% p.a. interest (Sec 7Q) + 5-25% damages (Sec 14B),ECR 3.0 enforces sequential filing (prior months must be filed first)
EPFO,"Labour, HR & Payroll",EPF Annual Return (Form 3A/6A),EPF Act 1952,Central,Registered EPF establishments,N/A,N/A,Date Trigger,Annual,30-Apr,Digital only,https://unifiedportal-emp.epfindia.gov.in,Consolidated annual contribution statements,Penalty for delay,Largely auto-generated through the monthly ECR system now
ESIC,"Labour, HR & Payroll",ESIC Registration,Employees' State Insurance Act 1948,Central,"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,"Mandatory at 10+ employees (20+ in some states); wage ceiling Rs21,000/month (Rs25,000 for persons with disability)",Employee Trigger,One-time,Within statutory timeline of crossing threshold,Digital only,https://www.esic.gov.in,"Employee details, PAN, address proof, bank details",N/A,Applicable only in ESIC-notified areas; check coverage for your location
ESIC,"Labour, HR & Payroll",ESIC Monthly Contribution & Return,ESI Act 1948,Central,Registered ESIC establishments,N/A,N/A,Date Trigger,Monthly,15th of following month,Digital only,https://www.esic.gov.in,"Wage data, employee-wise contribution",Interest + damages for delayed payment,Employer 3.25% + Employee 0.75% of wages (rates subject to change)
Professional Tax,"Labour, HR & Payroll",Professional Tax Registration (PTRC/PTEC),State Professional Tax Acts (Article 276 of Constitution),State (varies — see state compliance matrix),"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,Applicable once any employee/proprietor earns above state-specific salary threshold,Employee Trigger,One-time,Within 30 days of becoming liable (varies by state),Mostly digital via state portals; a few states require physical visit for first-time verification,State-specific — see state compliance matrix file,"PAN, address proof, employee count, salary register",Late registration penalty varies by state,"PT is NOT levied in Delhi, UP, Haryana, Rajasthan and several other states — see state matrix"
Professional Tax,"Labour, HR & Payroll",Professional Tax Return Filing,State Professional Tax Acts,State (varies — see state compliance matrix),"Sole Prop, Partnership, LLP, Pvt Ltd, Public Ltd",N/A,N/A,Date Trigger,Monthly/Quarterly/Half-yearly/Annual (varies by state),Varies by state — see state compliance matrix,Digital via state portals,State-specific — see state compliance matrix file,Employee-wise salary & PT deduction summary,"Interest + penalty, varies by state","Max PT capped at Rs2,500/person/year across India (constitutional cap)"
