legacy_row_id,input_file,input_row_number,mapped_compliance_id,raw_json
M011,india_compliance_master.csv,12,C011,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""E-Invoicing (IRN Generation)"", ""Governing_Law"": ""CGST Rules, Rule 48(4)"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""B2B GST-registered suppliers"", ""Turnover_Applicability"": ""Mandatory if aggregate turnover >Rs5Cr in any FY since 2017-18"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Turnover Trigger"", ""Frequency"": ""Real-time, per transaction"", ""Due_Date_Timeline"": ""Before/at the time of invoice issuance"", ""Digital_or_Physical"": ""Digital only (via IRP/GSP)"", ""Official_Website"": ""https://einvoice1.gst.gov.in"", ""Key_Documents_Required"": ""Invoice data via API/offline tool to Invoice Registration Portal"", ""Penalty_Late_Fee"": ""Invoice without IRN treated as not issued; ITC risk to recipient"", ""Notes"": ""Threshold has been reduced multiple times (from Rs500Cr to Rs5Cr); once applicable, always applicable""}"
M012,india_compliance_master.csv,13,C012,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""GST Registration Amendment / Additional Place of Business (APOB)"", ""Governing_Law"": ""CGST Rules, Rule 19"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""GST registered entities"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Location Trigger"", ""Frequency"": ""Event-based"", ""Due_Date_Timeline"": ""Within 15 days of change"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Address proof of new location, board resolution (companies)"", ""Penalty_Late_Fee"": ""Delay risks mismatch during audits/inspection"", ""Notes"": ""Triggered whenever business expands to a new state/premises""}"
M013,india_compliance_master.csv,14,C013,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""LUT for Exports (RFD-11)"", ""Governing_Law"": ""CGST Rules, Rule 96A"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Exporters (goods/services) wanting to export without IGST payment"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Industry Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""Before start of financial year"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.gst.gov.in"", ""Key_Documents_Required"": ""Self-declaration, authorized signatory KYC"", ""Penalty_Late_Fee"": ""Export shipments without LUT attract IGST + refund process"", ""Notes"": ""Must be renewed every financial year""}"
M014,india_compliance_master.csv,15,C014,"{""Department_Entity"": ""GST"", ""Compliance_Category"": ""GST & Indirect Tax"", ""Compliance_Name"": ""E-Way Bill"", ""Governing_Law"": ""CGST Rules, Rule 138"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""BIZ"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Transaction Trigger"", ""Frequency"": ""Per transaction"", ""Due_Date_Timeline"": ""Before movement of goods >Rs50,000 value"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://ewaybillgst.gov.in"", ""Key_Documents_Required"": ""Invoice/delivery challan, transporter/vehicle details"", ""Penalty_Late_Fee"": ""Detention of goods + penalty equal to tax amount"", ""Notes"": ""Mandatory for interstate movement above threshold; intrastate rules vary by state""}"
M015,india_compliance_master.csv,16,C015,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""Name Reservation (Part A of SPICe+ / RUN)"", ""Governing_Law"": ""Companies Act 2013"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Director/Partner Trigger"", ""Frequency"": ""One-time"", ""Due_Date_Timeline"": ""Before incorporation"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Proposed name(s), significance of name"", ""Penalty_Late_Fee"": ""Application lapses if not used within validity (20 days)"", ""Notes"": """"}"
M016,india_compliance_master.csv,17,C016,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""Company Incorporation (SPICe+ Part B + AGILE-PRO-S)"", ""Governing_Law"": ""Companies Act 2013"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Director/Partner Trigger"", ""Frequency"": ""One-time"", ""Due_Date_Timeline"": ""N/A"", ""Digital_or_Physical"": ""Digital only (MCA V3 portal)"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""MOA, AOA, director/subscriber KYC, DSC, registered office proof, NOC from owner"", ""Penalty_Late_Fee"": ""N/A"", ""Notes"": ""AGILE-PRO-S integrates GSTIN, EPFO, ESIC, Profession Tax (select states) and bank account applications at incorporation""}"
M017,india_compliance_master.csv,18,C017,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""INC-20A (Commencement of Business)"", ""Governing_Law"": ""Companies Act 2013, Sec 10A"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""One-time"", ""Due_Date_Timeline"": ""Within 180 days of incorporation (companies with share capital)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Bank statement showing subscription money received"", ""Penalty_Late_Fee"": ""Rs50,000 company penalty + Rs1,000/day for officers; risk of company being struck off"", ""Notes"": ""Company cannot commence business/borrow before filing this""}"
M018,india_compliance_master.csv,19,C018,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""First Board Meeting & Statutory Registers"", ""Governing_Law"": ""Companies Act 2013, Sec 173"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""One-time then ongoing"", ""Due_Date_Timeline"": ""Within 30 days of incorporation"", ""Digital_or_Physical"": ""Physical (minutes book) — increasingly maintained digitally too"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Board minutes, attendance register"", ""Penalty_Late_Fee"": ""Penalty under Sec 173/450"", ""Notes"": """"}"
M019,india_compliance_master.csv,20,C019,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""ADT-1 (Auditor Appointment)"", ""Governing_Law"": ""Companies Act 2013, Sec 139"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Director/Partner Trigger"", ""Frequency"": ""Event-based (post-AGM)"", ""Due_Date_Timeline"": ""Within 15 days of AGM (first auditor: 30 days of incorporation by board)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Auditor consent letter, eligibility certificate"", ""Penalty_Late_Fee"": ""Rs100/day, no cap"", ""Notes"": """"}"
M020,india_compliance_master.csv,21,C020,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""AOC-4 (Financial Statements)"", ""Governing_Law"": ""Companies Act 2013, Sec 137"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""Within 30 days of AGM (OPC: 180 days of FY end, no AGM)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Board's report, auditor's report, financial statements, AOC-2"", ""Penalty_Late_Fee"": ""Rs100/day, no upper cap"", ""Notes"": ""AOC-4 XBRL applies to listed/large companies; AOC-4 CFS for companies with subsidiaries""}"
M021,india_compliance_master.csv,22,C021,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""MGT-7 / MGT-7A (Annual Return)"", ""Governing_Law"": ""Companies Act 2013, Sec 92"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""Within 60 days of AGM"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Shareholding pattern, director details, board meeting record, indebtedness"", ""Penalty_Late_Fee"": ""Rs100/day, no upper cap"", ""Notes"": ""MGT-7A (simplified) for Small Companies and OPCs""}"
M022,india_compliance_master.csv,23,C022,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""Annual General Meeting (AGM)"", ""Governing_Law"": ""Companies Act 2013, Sec 96"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""Within 6 months of FY end (max 9 months for 1st AGM); by 30 Sept for March year-end"", ""Digital_or_Physical"": ""Physical or hybrid (video-conferencing permitted per MCA circulars)"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Notice, agenda, financial statements to be tabled"", ""Penalty_Late_Fee"": ""Penalty under Sec 99"", ""Notes"": ""OPCs are exempt from holding AGM""}"
M023,india_compliance_master.csv,24,C023,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""DIR-3 KYC"", ""Governing_Law"": ""Companies Act 2013, Rule 12A"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd directors, LLP designated partners"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Director/Partner Trigger"", ""Frequency"": ""Annual (now triennial for unchanged details, per 2026 rule change)"", ""Due_Date_Timeline"": ""30 September (Web form if unchanged; full e-form if PAN/mobile/email changed)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""PAN, Aadhaar, mobile/email OTP verification, DSC"", ""Penalty_Late_Fee"": ""DIN deactivation + Rs5,000 reactivation fee"", ""Notes"": ""From 31 Mar 2026, filing periodicity moved to once every 3 years for unchanged KYC""}"
M024,india_compliance_master.csv,25,C024,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""DPT-3 (Return of Deposits)"", ""Governing_Law"": ""Companies Act 2013, Rule 16"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""30 June (for position as on 31 March)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Auditor certificate, deposit/loan details"", ""Penalty_Late_Fee"": ""Rs5,000 + Rs500/day continuing default"", ""Notes"": ""Also captures non-deposit outstanding loans/advances""}"
M025,india_compliance_master.csv,26,C025,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""MSME-1 (Outstanding Dues to MSME Suppliers)"", ""Governing_Law"": ""Companies Act 2013, Sec 405"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Date Trigger"", ""Frequency"": ""Half-yearly"", ""Due_Date_Timeline"": ""30 April (Oct-Mar) and 31 October (Apr-Sep)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""MSME vendor ledger, dues outstanding beyond 45 days"", ""Penalty_Late_Fee"": ""Penalty under Sec 405 + Sec 43B(h) disallowance under Income Tax Act"", ""Notes"": """"}"
M026,india_compliance_master.csv,27,C026,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""CHG-1 (Creation/Modification of Charge)"", ""Governing_Law"": ""Companies Act 2013, Sec 77"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Transaction Trigger"", ""Frequency"": ""Event-based"", ""Due_Date_Timeline"": ""Within 30 days of charge creation (condonation up to 60 days with fee)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Loan/charge agreement, instrument creating charge"", ""Penalty_Late_Fee"": ""Additional fee scales with delay; charge becomes void against liquidator if unregistered"", ""Notes"": ""Triggered by secured borrowing, property mortgage""}"
M027,india_compliance_master.csv,28,C027,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""PAS-3 (Return of Allotment)"", ""Governing_Law"": ""Companies Act 2013, Sec 39"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Transaction Trigger"", ""Frequency"": ""Event-based"", ""Due_Date_Timeline"": ""Within 30 days of share allotment (e.g. equity funding round)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Board resolution, list of allottees, valuation report (if applicable)"", ""Penalty_Late_Fee"": ""Rs100/day, no cap"", ""Notes"": ""Triggered by every equity fundraise/ESOP allotment""}"
M028,india_compliance_master.csv,29,C028,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""DIR-12 (Director Appointment/Cessation)"", ""Governing_Law"": ""Companies Act 2013, Sec 170"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Director/Partner Trigger"", ""Frequency"": ""Event-based"", ""Due_Date_Timeline"": ""Within 30 days of appointment/resignation"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""Board resolution, consent (DIR-2), resignation letter"", ""Penalty_Late_Fee"": ""Rs100/day, no cap"", ""Notes"": """"}"
M029,india_compliance_master.csv,30,C029,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""INC-22 (Change of Registered Office)"", ""Governing_Law"": ""Companies Act 2013, Sec 12"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""N/A"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Location Trigger"", ""Frequency"": ""Event-based"", ""Due_Date_Timeline"": ""Within 30 days (15 days if within same city)"", ""Digital_or_Physical"": ""Digital only"", ""Official_Website"": ""https://www.mca.gov.in"", ""Key_Documents_Required"": ""New premises proof, NOC/rent agreement, utility bill"", ""Penalty_Late_Fee"": ""Rs100/day, no cap"", ""Notes"": ""Change across states additionally needs Regional Director approval (INC-23)""}"
M030,india_compliance_master.csv,31,C030,"{""Department_Entity"": ""MCA/ROC"", ""Compliance_Category"": ""MCA / ROC"", ""Compliance_Name"": ""Statutory Financial Audit"", ""Governing_Law"": ""Companies Act 2013, Sec 139-143"", ""Jurisdiction"": ""Central"", ""Applicable_Entity_Types"": ""Private Ltd, Public Ltd"", ""Turnover_Applicability"": ""Mandatory for all companies regardless of turnover"", ""Employee_Headcount_Threshold"": ""N/A"", ""Trigger_Type"": ""Turnover Trigger"", ""Frequency"": ""Annual"", ""Due_Date_Timeline"": ""Before AGM (audited financials needed for AOC-4)"", ""Digital_or_Physical"": ""Physical/hybrid (auditor visits + digital working papers)"", ""Official_Website"": ""https://www.mca.gov.in / https://www.icai.org"", ""Key_Documents_Required"": ""Books of accounts, vouchers, bank statements, confirmations"", ""Penalty_Late_Fee"": ""Non-compliance risk to directors under Sec 147"", ""Notes"": ""Statutory audit is mandatory irrespective of turnover for companies""}"
