item_id,item_type,reference_id,status,work_required
COV-AP-pollution_cte,state_topic,AP-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AP-pollution_cto,state_topic,AP-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AP-hazardous_waste,state_topic,AP-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AP-fire_safety,state_topic,AP-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-municipal_trade,state_topic,AP-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AP-building_occupancy,state_topic,AP-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AP-state_drug_licensing,state_topic,AP-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-excise,state_topic,AP-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-legal_metrology,state_topic,AP-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-rera,state_topic,AP-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-psara,state_topic,AP-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-state_food_safety,state_topic,AP-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-groundwater,state_topic,AP-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AP-boilers,state_topic,AP-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-professional_tax,state_topic,AR-professional_tax,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-shops_establishments,state_topic,AR-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-labour_welfare_fund,state_topic,AR-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-factory_licensing,state_topic,AR-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-pollution_cte,state_topic,AR-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AR-pollution_cto,state_topic,AR-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AR-hazardous_waste,state_topic,AR-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AR-fire_safety,state_topic,AR-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-municipal_trade,state_topic,AR-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AR-building_occupancy,state_topic,AR-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AR-state_drug_licensing,state_topic,AR-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-excise,state_topic,AR-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-legal_metrology,state_topic,AR-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-rera,state_topic,AR-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-psara,state_topic,AR-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-state_food_safety,state_topic,AR-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-groundwater,state_topic,AR-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AR-boilers,state_topic,AR-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-professional_tax,state_topic,AS-professional_tax,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.
COV-AS-shops_establishments,state_topic,AS-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-labour_welfare_fund,state_topic,AS-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-factory_licensing,state_topic,AS-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-pollution_cte,state_topic,AS-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AS-pollution_cto,state_topic,AS-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AS-hazardous_waste,state_topic,AS-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-AS-fire_safety,state_topic,AS-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-municipal_trade,state_topic,AS-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AS-building_occupancy,state_topic,AS-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-AS-state_drug_licensing,state_topic,AS-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-excise,state_topic,AS-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-legal_metrology,state_topic,AS-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-rera,state_topic,AS-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-psara,state_topic,AS-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-state_food_safety,state_topic,AS-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-groundwater,state_topic,AS-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-AS-boilers,state_topic,AS-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-professional_tax,state_topic,BR-professional_tax,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.
COV-BR-shops_establishments,state_topic,BR-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-labour_welfare_fund,state_topic,BR-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-factory_licensing,state_topic,BR-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-pollution_cte,state_topic,BR-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-BR-pollution_cto,state_topic,BR-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-BR-hazardous_waste,state_topic,BR-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-BR-fire_safety,state_topic,BR-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-municipal_trade,state_topic,BR-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-BR-building_occupancy,state_topic,BR-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-BR-state_drug_licensing,state_topic,BR-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-excise,state_topic,BR-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-legal_metrology,state_topic,BR-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-rera,state_topic,BR-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-psara,state_topic,BR-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-state_food_safety,state_topic,BR-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-groundwater,state_topic,BR-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-BR-boilers,state_topic,BR-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-professional_tax,state_topic,CH-professional_tax,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.
COV-CH-shops_establishments,state_topic,CH-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-labour_welfare_fund,state_topic,CH-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-factory_licensing,state_topic,CH-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-pollution_cte,state_topic,CH-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-CH-pollution_cto,state_topic,CH-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-CH-hazardous_waste,state_topic,CH-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-CH-fire_safety,state_topic,CH-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-municipal_trade,state_topic,CH-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-CH-building_occupancy,state_topic,CH-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-CH-state_drug_licensing,state_topic,CH-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-excise,state_topic,CH-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-legal_metrology,state_topic,CH-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-rera,state_topic,CH-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-psara,state_topic,CH-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-state_food_safety,state_topic,CH-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-groundwater,state_topic,CH-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CH-boilers,state_topic,CH-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-professional_tax,state_topic,CG-professional_tax,conflict_flagged,"2011 state budget says profession tax discontinued, contradicting imported Yes. Verify current statute/reintroduction before deciding current non-levy."
COV-CG-shops_establishments,state_topic,CG-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-labour_welfare_fund,state_topic,CG-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-factory_licensing,state_topic,CG-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-pollution_cte,state_topic,CG-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-CG-pollution_cto,state_topic,CG-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-CG-hazardous_waste,state_topic,CG-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-CG-fire_safety,state_topic,CG-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-municipal_trade,state_topic,CG-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-CG-building_occupancy,state_topic,CG-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-CG-state_drug_licensing,state_topic,CG-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-excise,state_topic,CG-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-legal_metrology,state_topic,CG-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-rera,state_topic,CG-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-psara,state_topic,CG-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-state_food_safety,state_topic,CG-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-groundwater,state_topic,CG-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-CG-boilers,state_topic,CG-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-professional_tax,state_topic,DN-professional_tax,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-shops_establishments,state_topic,DN-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-labour_welfare_fund,state_topic,DN-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-factory_licensing,state_topic,DN-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-pollution_cte,state_topic,DN-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-DN-pollution_cto,state_topic,DN-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-DN-hazardous_waste,state_topic,DN-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-DN-fire_safety,state_topic,DN-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-municipal_trade,state_topic,DN-municipal_trade,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-DN-building_occupancy,state_topic,DN-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-DN-state_drug_licensing,state_topic,DN-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-excise,state_topic,DN-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-legal_metrology,state_topic,DN-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-rera,state_topic,DN-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-psara,state_topic,DN-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-state_food_safety,state_topic,DN-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-groundwater,state_topic,DN-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DN-boilers,state_topic,DN-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-professional_tax,state_topic,DL-professional_tax,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.
COV-DL-shops_establishments,state_topic,DL-shops_establishments,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-labour_welfare_fund,state_topic,DL-labour_welfare_fund,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-factory_licensing,state_topic,DL-factory_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-pollution_cte,state_topic,DL-pollution_cte,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-DL-pollution_cto,state_topic,DL-pollution_cto,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-DL-hazardous_waste,state_topic,DL-hazardous_waste,authority_directory_confirmed,"Check current industrial classification, consent exemptions, state form/fee/validity, renewal deadline, inspections and operating application endpoint."
COV-DL-fire_safety,state_topic,DL-fire_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-municipal_trade,state_topic,DL-municipal_trade,partial_rule_research,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-DL-building_occupancy,state_topic,DL-building_occupancy,discovery_only,Resolve municipality/panchayat/development authority and premises use. One city example cannot establish state-wide obligations or online completion.
COV-DL-state_drug_licensing,state_topic,DL-state_drug_licensing,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-excise,state_topic,DL-excise,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-legal_metrology,state_topic,DL-legal_metrology,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-rera,state_topic,DL-rera,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-psara,state_topic,DL-psara,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-state_food_safety,state_topic,DL-state_food_safety,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-groundwater,state_topic,DL-groundwater,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-DL-boilers,state_topic,DL-boilers,discovery_only,"Identify competent authority, operative statute/rules, exact triggers, due dates, documents, live application and physical steps. Directory inclusion does not prove this service is available."
COV-GA-professional_tax,state_topic,GA-professional_tax,imported_unverified,Original Yes/No retained in legacy_rows only; verify present levy/exemptions from current official law. A missing portal is not evidence of non-levy.
