compliance_id,name,department_id,obligation_kind,scope_level,catalog_status
C090,Hazardous Waste Authorization,WASTE,mandatory_if_applicable,state_framework,imported_unverified
C092,Internal Audit,AUDIT,mandatory_if_applicable,central,researched_partial
C093,Cost Audit,AUDIT,mandatory_if_applicable,central,imported_unverified
C094,Trademark Registration,IP,optional_benefit,central,researched_partial
C095,Trademark Renewal,IP,mandatory_if_applicable,central,researched_partial
C096,Copyright Registration,IP,optional_benefit,central,imported_unverified
C097,Patent Application,IP,optional_benefit,central,researched_partial
C098,Design Registration,IP,optional_benefit,central,researched_partial
C099,Statutory Books of Accounts (Companies Act),BOOKS,mandatory_if_applicable,central,imported_unverified
C100,Statutory Registers (Companies Act),BOOKS,mandatory_if_applicable,central,imported_unverified
C101,"Books of Accounts (Income Tax Act, Sec 44AA)",BOOKS,mandatory_if_applicable,central,researched_partial
C102,Invoice & E-way Bill Record Retention,BOOKS,mandatory_if_applicable,central,imported_unverified
C103,GST Show Cause Notice (SCN) Response,GST,mandatory_if_applicable,central,researched_partial
C104,GST Registration Suspension/Cancellation Notice Response,GST,mandatory_if_applicable,central,imported_unverified
C105,Income Tax Intimation u/s 143(1),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C106,Income Tax Scrutiny Notice u/s 143(2)/142(1),INCOME_TAX,mandatory_if_applicable,central,researched_partial
C107,EPFO Inspection / Notice Response,EPFO,mandatory_if_applicable,central,researched_partial
C108,MCA / ROC Adjudication or Show Cause Notice,MCA,mandatory_if_applicable,central,researched_partial
N001,"CSR applicability, governance and spending",MCA,mandatory_if_applicable,central,researched_partial
N002,TReDS mandatory onboarding,MSME,mandatory_if_applicable,central,researched_partial
N003,LLP agreement filing / changes — Form 3,LLP,mandatory_if_applicable,central,researched_partial
N004,LLP partner appointment / cessation / particulars — Form 4,LLP,mandatory_if_applicable,central,researched_partial
N005,Company resolutions filing — MGT-14,MCA,mandatory_if_applicable,central,researched_partial
N006,Beneficial ownership declarations and reporting,MCA,mandatory_if_applicable,central,researched_partial
N007,FCRA annual return — FC-4,NGO,mandatory_if_applicable,central,researched_partial
N008,"Donation reporting and donor certificate — 10BD/10BE, new 113/114",INCOME_TAX,mandatory_if_applicable,central,researched_partial
N009,FSSAI annual return — applicable manufacturers and importers,FSSAI,mandatory_if_applicable,central,researched_partial
N010,FSSAI modification after business / product / premises changes,FSSAI,mandatory_if_applicable,central,researched_partial
N011,FSSAI food recall and traceability response,FSSAI,mandatory_if_applicable,central,researched_partial
N012,Plastic packaging EPR registration,WASTE,mandatory_if_applicable,central,researched_partial
N013,Battery producer / recycler / refurbisher registration,WASTE,mandatory_if_applicable,central,researched_partial
N014,E-waste registration and recycling targets,WASTE,mandatory_if_applicable,central,researched_partial
N015,Waste tyre EPR fulfilment and certificates,WASTE,mandatory_if_applicable,central,researched_partial
N016,Used-oil EPR registration and obligations,WASTE,mandatory_if_applicable,central,researched_partial
N017,Construction and demolition waste registration / EPR,WASTE,mandatory_if_applicable,central,researched_partial
N018,Prior environmental clearance,POLLUTION,mandatory_if_applicable,central,researched_partial
N019,Forest diversion approval,POLLUTION,mandatory_if_applicable,central,researched_partial
N020,CRZ / wildlife clearance assessment,POLLUTION,mandatory_if_applicable,central,researched_partial
N021,Groundwater abstraction NOC,POLLUTION,mandatory_if_applicable,central_or_state,researched_partial
N022,Customs import declaration and supporting documents,CUSTOMS,mandatory_if_applicable,central,researched_partial
N023,Customs export declaration and supporting documents,CUSTOMS,mandatory_if_applicable,central,researched_partial
N024,FDI share issue reporting — FC-GPR,FEMA,mandatory_if_applicable,central,researched_partial
N025,Resident / non-resident transfer reporting — FC-TRS,FEMA,mandatory_if_applicable,central,researched_partial
N026,Foreign investment in LLP — LLP-I / LLP-II,FEMA,mandatory_if_applicable,central,researched_partial
N027,Convertible-note foreign-investment reporting — CN,FEMA,mandatory_if_applicable,central,researched_partial
N028,Packaged-commodity manufacturer / packer / importer registration,LEGAL_METROLOGY,mandatory_if_applicable,central_or_state,researched_partial
N029,Packaged-commodity label and online declarations,LEGAL_METROLOGY,ongoing_duty,central,researched_partial
N030,Weighing / measuring instrument model approval and verification,LEGAL_METROLOGY,mandatory_if_applicable,central_or_state,researched_partial
N031,BIS certification for QCO-covered products,BIS,mandatory_if_applicable,central,researched_partial
N032,BIS certification testing / surveillance duties,BIS,ongoing_duty,central,researched_partial
N033,Drug import / manufacture / sale permission assessment,DRUGS_HEALTH,mandatory_if_applicable,central_or_state,researched_partial
N034,Medical-device licensing by risk class and activity,DRUGS_HEALTH,mandatory_if_applicable,central_or_state,researched_partial
N035,Cosmetics import registration,DRUGS_HEALTH,mandatory_if_applicable,central,researched_partial
N036,Petroleum storage / installation licence,ENERGY_PESO,mandatory_if_applicable,central,researched_partial
N037,CERT-In specified cyber-incident reporting,DATA_CYBER,incident_duty,central,researched_partial
N038,CERT-In ICT log retention / point of contact,DATA_CYBER,ongoing_duty,central,researched_partial
N039,DPDP commencement and applicability assessment,DATA_CYBER,law_change_review,central,researched_partial
N040,Transport-vehicle permit,TRANSPORT,mandatory_if_applicable,state_framework,researched_partial
N041,Transport vehicle fitness certificate,TRANSPORT,mandatory_if_applicable,state_framework,researched_partial
N042,Wireless equipment type approval,TELECOM,mandatory_if_applicable,central,researched_partial
N043,Telecom / radio authorisation assessment,TELECOM,mandatory_if_applicable,central,researched_partial
N044,Mine opening / safety notices,AGRI_MINING,mandatory_if_applicable,central,researched_partial
N045,Pesticide registration / import permission,AGRI_MINING,mandatory_if_applicable,central,researched_partial
N046,Plant quarantine clearance / phytosanitary certification,AGRI_MINING,mandatory_if_applicable,central,researched_partial
N047,Private security agency licence,LABOUR,mandatory_if_applicable,state_framework,researched_partial
N048,RERA project / agent registration framework,RERA,mandatory_if_applicable,state_framework,researched_partial
N049,Labour-code transition review for each establishment,LABOUR,law_change_review,central_or_state,researched_partial
S-PB-PSDT-REG,Punjab development tax registration,PT,mandatory_if_applicable,state,researched_partial
S-PB-PSDT-ELECT,Punjab development tax lump-sum election,PT,optional_scheme,state,researched_partial
S-MH-PT-REG,Maharashtra profession tax registration / enrolment,PT,mandatory_if_applicable,state,researched_partial
S-KA-PT-REG,Karnataka profession tax registration / enrolment,PT,mandatory_if_applicable,state,researched_partial
S-MN-PT-REG,Manipur profession tax registration / enrolment,PT,mandatory_if_applicable,state,researched_partial
S-NL-PT-REG,Nagaland profession tax registration / enrolment,PT,mandatory_if_applicable,state,researched_partial
S-ML-PT-REG,Meghalaya profession tax registration / enrolment,PT,mandatory_if_applicable,state,researched_partial
S-WB-PT-ENROL,West Bengal profession tax enrolment,PT,mandatory_if_applicable,state,researched_partial
S-WB-PT-RETURN,West Bengal employer profession tax return,PT,mandatory_if_applicable,state,researched_partial
S-TN-SHOPS-REG,Tamil Nadu shops and establishments registration,SHOPS,mandatory_if_applicable,state,researched_partial
S-AN-SHOPS,Andaman and Nicobar shops registration / renewal,SHOPS,mandatory_if_applicable,state,researched_partial
S-GA-LM-REG,Goa manufacturer / packer / importer registration,LEGAL_METROLOGY,mandatory_if_applicable,state,researched_partial
S-LA-CTE,Ladakh consent to establish,POLLUTION,mandatory_if_applicable,state,researched_partial
S-LA-CTO,Ladakh consent to operate,POLLUTION,mandatory_if_applicable,state,researched_partial
S-ML-EXCISE,Meghalaya excise licence for controlled liquor activity,EXCISE,mandatory_if_applicable,state,researched_partial
S-KL-RERA,Kerala RERA project registration,RERA,mandatory_if_applicable,state,researched_partial
S-DL-MCD-GTL,MCD general trade / storage licence,MUNICIPAL,mandatory_if_applicable,local,researched_partial
S-TN-GCC-TRADE,Greater Chennai trade licence,MUNICIPAL,mandatory_if_applicable,local,researched_partial
IF001,Annual foreign liabilities and assets return,FEMA,mandatory_if_applicable,central,researched_partial
IF002,Half-yearly share capital reconciliation — PAS-6,MCA,mandatory_if_applicable,central,researched_partial
IF003,Notice of alteration of share capital,MCA,mandatory_if_applicable,central,researched_partial
IF004,Auditor resignation notice,AUDIT,mandatory_if_applicable,central,researched_partial
IF005,APEDA scheduled-product exporter registration / renewal,DGFT,mandatory_if_applicable,central,researched_partial
IF006,NGO / NPO Darpan unique ID,NGO,mandatory_if_applicable,central,researched_partial
IF007,GST registration cancellation application,GST,mandatory_if_applicable,central,researched_partial
IF008,GST final return after cancellation,GST,mandatory_if_applicable,central,researched_partial
IF009,LLP voluntary strike-off application,LLP,optional_exit_procedure,central,researched_partial
IF010,Company voluntary strike-off application,MCA,optional_exit_procedure,central,researched_partial
IF011,Apply for dormant company status,MCA,optional_status_procedure,central,researched_partial
IF012,Dormant company annual return,MCA,mandatory_if_applicable,central,researched_partial
IF013,Trademark examination-report response,IP,mandatory_if_applicable,central,researched_partial
IF014,Trademark opposition counterstatement,IP,mandatory_if_applicable,central,researched_partial
IF015,DPIIT startup recognition,MSME,optional_benefit,central,researched_partial
IF016,Restoration of struck-off company / order filing,MCA,optional_remedial_procedure,central,researched_partial
