correction_id,legacy_row_id,field_name,original_value,replacement_or_action,source_id,status
FIX-30-turnover_basis,M030,turnover_basis,Mandatory for all companies regardless of turnover,Company statutory audit is not conditional on a minimum turnover; company-specific exemptions and auditor rules still require checking.,MCA_ACT,corrected_or_qualified
FIX-34-deadline_text,M034,deadline_text,30-Oct,Within 30 days after the end of six months from financial-year close; ordinarily 30 October for a 31 March close. Check first-FY and notified extension rules.,LLP_8,corrected_or_qualified
FIX-92-turnover_basis,M092,turnover_basis,Turnover >=Rs200Cr or paid-up capital >=Rs50Cr (private companies); lower thresholds for listed/public companies,"Apply Companies (Accounts) Rules Rule 13 separately to listed, unlisted public and private companies. The imported assertion that private companies trigger at INR 50 crore paid-up capital is not accepted; verify turnover and bank/PFI borrowing tests in the current rule.",MCA_ACT,corrected_or_qualified
FIX-48-deadline_text,M048,deadline_text,31-Jul,"AY 2026-27: do not use one date for every non-audit taxpayer. Official guidance distinguishes 31 July and 31 August categories. Resolve business/professional income, entity type and applicable extensions before scheduling.",IT_RETURNS,corrected_or_qualified
FIX-49-exceptions_text,M049,exceptions_text,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.","Income-tax audit, statutory audit and transfer-pricing categories have distinct return deadlines. An audit-report deadline is not the ITR deadline.",IT_AUDIT,corrected_or_qualified
FIX-50-turnover_basis,M050,turnover_basis,Business: turnover >Rs1Cr (>Rs10Cr if cash receipts & payments each <=5% of total); Profession: gross receipts >Rs50L (>Rs75L if >=95% receipts digital),"Business: above INR 10000000, or above INR 100000000 where BOTH cash receipts and cash payments do not exceed 5%. Profession: general audit threshold above INR 5000000. Eligible presumptive professional treatment up to INR 7500000 can relieve audit only if all conditions are met; it is not a universal digital-receipts audit threshold.",IT_AUDIT,corrected_or_qualified
FIX-50-deadline_text,M050,deadline_text,30 September (general); 31 October for transfer pricing cases,"For FY 2025-26 / AY 2026-27, Forms 3CA/3CB + 3CD; ordinary audit-report due date 30 September 2026, subject to category and extensions. New Tax Year 2026-27 uses Form 26.",IT_AUDIT,corrected_or_qualified
FIX-52-turnover_basis,M052,turnover_basis,"Estimated annual tax liability >Rs10,000","Estimated net advance-tax liability >= INR 10000, after applicable credits and exemptions; this is a tax-liability threshold, not turnover.",IT_ADVANCE,corrected_or_qualified
FIX-56-governing_law,M056,governing_law,Income Tax Act 1961 (renumbered Form 139),"Income-tax Act 1961 for legacy periods; Form 27Q maps to Form 144 under the Income-tax Rules 2026, not Form 139.",IT_FORMS,corrected_or_qualified
FIX-60-exceptions_text,M060,exceptions_text,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.",Legacy Form 26QB applies to relevant old-law transactions. New-law specified transactions use Form 141; select its property schedule and current conditions.,FORM141,corrected_or_qualified
FIX-63-governing_law,M063,governing_law,Employees' Provident Funds & Misc. Provisions Act 1952,"Employees' Provident Funds & Misc. Provisions Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-64-governing_law,M064,governing_law,EPF Act 1952,"EPF Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-65-governing_law,M065,governing_law,EPF Act 1952,"EPF Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-66-governing_law,M066,governing_law,Employees' State Insurance Act 1948,"Employees' State Insurance Act 1948 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-67-governing_law,M067,governing_law,ESI Act 1948,"ESI Act 1948 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-71-governing_law,M071,governing_law,Payment of Gratuity Act 1972,"Payment of Gratuity Act 1972 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-73-governing_law,M073,governing_law,Minimum Wages Act 1948 / Code on Wages 2019,"Minimum Wages Act 1948 / Code on Wages 2019 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-74-governing_law,M074,governing_law,Contract Labour (Regulation & Abolition) Act 1970,"Contract Labour (Regulation & Abolition) Act 1970 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-86-governing_law,M086,governing_law,Factories Act 1948,"Factories Act 1948 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-87-governing_law,M087,governing_law,Factories Act 1948,"Factories Act 1948 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-107-governing_law,M107,governing_law,EPF Act 1952,"EPF Act 1952 [Legacy reference]. Review operative Labour Code, current rules/schemes and savings from 21 November 2025; do not use legacy law alone.",LABOUR_CODES,corrected_or_qualified
FIX-64-deadline_text,M064,deadline_text,15th of following month,Ordinary monthly PF payment due by 15th of following month. Treat ECR extensions and contribution-payment extensions separately.,EPF_DUE,corrected_or_qualified
FIX-65-applicability_text,M065,applicability_text,Registered EPF establishments,Do not create a routine separate annual Form 3A/6A filing for ECR-compliant employers. Retain this entry for historical records or a specific correction/departmental requirement.,EPF_ECR,corrected_or_qualified
FIX-65-frequency,M065,frequency,Annual,legacy_or_specific_request,EPF_ECR,corrected_or_qualified
FIX-65-deadline_text,M065,deadline_text,30-Apr,No routine separate annual deadline assigned; use actual departmental request if applicable.,EPF_ECR,corrected_or_qualified
FIX-66-employee_basis,M066,employee_basis,"Mandatory at 10+ employees (20+ in some states); wage ceiling Rs21,000/month (Rs25,000 for persons with disability)",Establishment coverage and exceptions must be tested separately. Current notified ESI employee wage ceiling cited by ministry: INR 21000 per month; use Code wage definition and applicable special categories.,LABOUR_SSC,corrected_or_qualified
FIX-70-deadline_text,M070,deadline_text,Annual report by 31 January to District Officer,Constitute Internal Committee where required. Annual report goes to employer and District Officer; no universal 31 January due date is imposed by the central Act. Check local instructions.,POSH_ACT,corrected_or_qualified
FIX-71-exceptions_text,M071,exceptions_text,"Imported rule: unresolved fields require verification. Original notes, process claims and penalties are preserved unchanged in legacy_rows.","Fixed-term employment means directly employed under a fixed-term contract, not contractor-supplied labour; ministry FAQ recognises one-year service eligibility under that contract. Other gratuity coverage and entitlement rules need separate evaluation.",LABOUR_SSC,corrected_or_qualified
FIX-74-employee_basis,M074,employee_basis,20+ contract workers,Re-evaluate contract-labour coverage under OSH Code and appropriate-government rules. Do not continue the imported universal 20-worker licence test. Contractor licence and principal-employer obligations are separate.,OSH_RULES,corrected_or_qualified
FIX-86-employee_basis,M086,employee_basis,10+ workers with power; 20+ workers without power (state variations exist),"Verify operative OSH factory definition, power use, prior state thresholds/savings, activity and current state rules; do not use one legacy 10/20-worker test nationwide.",OSH_RULES,corrected_or_qualified
FIX-87-employee_basis,M087,employee_basis,Same as Factory Licence,"Verify operative OSH factory definition, power use, prior state thresholds/savings, activity and current state rules; do not use one legacy 10/20-worker test nationwide.",OSH_RULES,corrected_or_qualified
FIX-75-frequency,M075,frequency,"One-time (perpetual validity from 2026, no routine renewal)",registration_or_modification_with_ongoing_fee_and_compliance,FSSAI_VALID,corrected_or_qualified
FIX-75-deadline_text,M075,deadline_text,Before commencing food business,"Register/license before relevant food business activity. For certificates issued on/after 1 April 2026, apply perpetual-validity and ongoing-fee rules; check migration of existing certificates.",FSSAI_VALID,corrected_or_qualified
FIX-76-frequency,M076,frequency,One-time (perpetual validity from 2026),registration_or_modification_with_ongoing_fee_and_compliance,FSSAI_VALID,corrected_or_qualified
FIX-76-deadline_text,M076,deadline_text,Before commencing/on crossing threshold (upgrade within 1 month of crossing),"Register/license before relevant food business activity. For certificates issued on/after 1 April 2026, apply perpetual-validity and ongoing-fee rules; check migration of existing certificates.",FSSAI_VALID,corrected_or_qualified
FIX-77-frequency,M077,frequency,One-time (perpetual validity from 2026),registration_or_modification_with_ongoing_fee_and_compliance,FSSAI_VALID,corrected_or_qualified
FIX-77-deadline_text,M077,deadline_text,Before commencing/on crossing threshold,"Register/license before relevant food business activity. For certificates issued on/after 1 April 2026, apply perpetual-validity and ongoing-fee rules; check migration of existing certificates.",FSSAI_VALID,corrected_or_qualified
FIX-76-turnover_basis,M076,turnover_basis,Rs1.5Cr to Rs50Cr turnover (revised w.e.f. 1 April 2026); some categories mandatorily need State Licence regardless of turnover,Ordinary turnover tier: above INR 15000000 and up to INR 500000000 inclusive; special KoB criteria override.,FSSAI_THRESH,corrected_or_qualified
FIX-77-turnover_basis,M077,turnover_basis,"Above Rs50Cr turnover (revised w.e.f. 1 April 2026); certain categories (imports, railways, large manufacturing, e-commerce food aggregators) always mandatory",Ordinary turnover tier: above INR 500000000; special KoB criteria can require Central licence at lower turnover.,FSSAI_THRESH,corrected_or_qualified
FIX-78-applicability_text,M078,applicability_text,Entities engaged in import/export,"Import/export of goods generally requires IEC unless exempt. For service/technology exports, FTP benefit claims and specified controls determine IEC necessity; not every service export requires IEC.",DGFT_FTP,corrected_or_qualified
FIX-79-deadline_text,M079,deadline_text,"Between April-June each year (even with no changes, confirmation required)","Confirm/update electronically during April-June each year, even with no changes; ordinary last date 30 June, subject to notified extensions.",DGFT_FTP,corrected_or_qualified
FIX-83-turnover_basis,M083,turnover_basis,Micro/Small/Medium as per investment & turnover criteria (self-declared),"From 1 April 2025, paired investment/turnover ceilings: Micro INR 2.5/10 crore; Small INR 25/100 crore; Medium INR 125/500 crore. Use statutory definitions and both tests.",UDYAM,corrected_or_qualified
FIX-95-deadline_text,M095,deadline_text,6 months before expiry (grace period post-expiry available with surcharge),TM-R may be filed within the year before expiry. Verify registration expiry and late renewal/restoration provisions.,TM_RULES,corrected_or_qualified
FIX-103-deadline_text,M103,deadline_text,Typically 30 days from notice (varies by notice type),"Use the actual notice, applicable legal provision, tax period and service date. This source does not verify a uniform SCN reply period; no automatic date assigned.",,manual_qualification_not_source_verified
FIX-75-turnover_basis,M075,turnover_basis,Turnover up to Rs1.5Cr (revised w.e.f. 1 April 2026),Ordinary turnover tier: up to INR 15000000 inclusive from 1 April 2026; special KoB criteria override.,FSSAI_THRESH,corrected_or_qualified
STATE-PB-Professional_Tax_Applicable,S015,Professional_Tax_Applicable,No,Punjab State Development Tax exists; test schedule/exemptions. Original No is not accepted.,PB_PT,corrected_or_qualified
STATE-CG-Professional_Tax_Applicable,S022,Professional_Tax_Applicable,Yes,2011 official budget discontinued PT. Imported Yes held unresolved pending current-law check.,CG_PT,corrected_or_qualified
STATE-MH-SE_Validity,S001,SE_Validity,Lifetime (no renewal),Original lifetime claim rejected: 2017 Act provided validity up to ten years. Resolve 2025 amendment and subsequent operative law.,MH_SE,corrected_or_qualified
STATE-TN-SE_Validity,S004,SE_Validity,1 year (annual renewal),Annual renewal not substantiated by inspected registration form; leave validity unresolved.,TN_SE,corrected_or_qualified
STATE-KA-PT_Return_Frequency,S002,PT_Return_Frequency,Monthly,Do not conflate monthly employer deductions with annual enrolment payment; 2026 annual payment extension is period-specific.,KA_PT,corrected_or_qualified
