document_id,rule_id,document_name,entry_kind,requirement_status,condition_text,source_id
C066-V1-DOC,C066-V1,"Employee details, PAN, address proof, bank details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C067-V1-DOC,C067-V1,"Wage data, employee-wise contribution",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C068-V1-DOC,C068-V1,"PAN, address proof, employee count, salary register",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C069-V1-DOC,C069-V1,Employee-wise salary & PT deduction summary,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C070-V1-DOC,C070-V1,"Committee constitution order, complaints register, training records",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C071-V1-DOC,C071-V1,"Employee service records, salary details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C072-V1-DOC,C072-V1,Employee count & contribution register,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C073-V1-DOC,C073-V1,"Wage registers, attendance records, appointment letters",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C074-V1-DOC,C074-V1,"Contractor agreement, workforce details, welfare amenity plan",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C075-V1-DOC,C075-V1,"Identity/address proof, food category declaration, photo",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C076-V1-DOC,C076-V1,"Layout plan, water test report, food safety management plan, ID/address proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C077-V1-DOC,C077-V1,"Layout plan, NABL-accredited water test, food safety plan, import-export code (if applicable)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C078-V1-DOC,C078-V1,"PAN, bank account/cancelled cheque, address proof, DSC/Aadhaar e-sign",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C079-V1-DOC,C079-V1,Confirmation of existing details or updated KYC,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C080-V1-DOC,C080-V1,"IEC copy, product/service category proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C081-V1-DOC,C081-V1,"Bank AD code letter, IEC copy",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C082-V1-DOC,C082-V1,"Export obligation undertaking, bond/BG, CA certificate",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C083-V1-DOC,C083-V1,Aadhaar and PAN/GST-linked particulars as applicable; no document upload required by official portal,compound_checklist,supported,Check the current form and exact applicant/activity before collecting documents,UDYAM
C084-V1-DOC,C084-V1,"Shop & Establishment certificate, ownership/rent proof, layout plan, fire NOC (for larger premises)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C085-V1-DOC,C085-V1,"Building plan, fire-fighting equipment certification, occupancy certificate",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C086-V1-DOC,C086-V1,"Site plan, machinery list, safety certification, manpower details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C087-V1-DOC,C087-V1,"Previous licence, compliance/inspection reports, updated manpower data",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C088-V1-DOC,C088-V1,"Project report, effluent/emission treatment plan, site layout, land documents",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C089-V1-DOC,C089-V1,"CTE copy, installed ETP/APC system proof, compliance report",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C090-V1-DOC,C090-V1,"Waste inventory, disposal/recycling agreement with authorized handler",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C092-V1-DOC,C092-V1,"Process documentation, risk register, internal control testing evidence",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C093-V1-DOC,C093-V1,"Cost accounting records, product/service cost sheets",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C094-V1-DOC,C094-V1,"Brand name/logo, class of goods/services, applicant proof, POA (if via agent)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C095-V1-DOC,C095-V1,"Existing registration certificate, renewal Form TM-R",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C096-V1-DOC,C096-V1,"Work sample, ownership declaration, NOC (if applicable)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C097-V1-DOC,C097-V1,"Patent specification, claims, prior-art search, inventor details",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C098-V1-DOC,C098-V1,"Design representation sheets, applicant proof",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C099-V1-DOC,C099-V1,"Ledgers, vouchers, bank reconciliations, fixed asset register",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C100-V1-DOC,C100-V1,"Register of Members, Directors, Charges, Related Party Contracts",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C101-V1-DOC,C101-V1,"Cash book, ledger, journal, bills/vouchers",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C102-V1-DOC,C102-V1,"Tax invoices, e-way bills, purchase/sale registers",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C103-V1-DOC,C103-V1,"Reply draft, supporting documents/reconciliations, legal submissions",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C104-V1-DOC,C104-V1,"Explanation, pending return filings, reconciliation",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C105-V1-DOC,C105-V1,"Return copy, computation reconciliation",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C106-V1-DOC,C106-V1,"Books of accounts, supporting evidence for return entries queried",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C107-V1-DOC,C107-V1,"Wage registers, ECR filing history, attendance records",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C108-V1-DOC,C108-V1,"Explanation, supporting filings, compounding application (if applicable)",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C054-V2-DOC,C054-V2,Current 138 data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C055-V2-DOC,C055-V2,Current 140 data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C056-V2-DOC,C056-V2,Current 144 data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C057-V2-DOC,C057-V2,Current 143 data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C061-V2-DOC,C061-V2,Current 145 / 146 data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C050-V2-DOC,C050-V2,Current 26 data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
C060-V2-DOC,C060-V2,Current 141 (property schedule) data and supporting records; confirm form-specific checklist,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N001-V1-DOC,N001-V1,Financial statements; section 198 profit computation; CSR policy; project and spending records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N002-V1-DOC,N002-V1,PAN; CIN; authorised signatory; financial turnover and bank particulars,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N003-V1-DOC,N003-V1,Executed agreement or amendment; relevant partner approvals; DSC; applicable state stamp duty,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N004-V1-DOC,N004-V1,Consent; appointment/cessation evidence; identity particulars; DSC,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N005-V1-DOC,N005-V1,Resolution; explanatory statement where required; altered constitutional documents if relevant; DSC,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N006-V1-DOC,N006-V1,Ownership chain; beneficial-owner declaration; shareholding and control records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N007-V1-DOC,N007-V1,FCRA registration/prior permission; designated bank statements; annual accounts and audit certificates as applicable,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N008-V1-DOC,N008-V1,"Donor identification; donation date, amount and mode; approval particulars; certificate records",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N009-V1-DOC,N009-V1,Licence particulars; production/import quantities; product and sales data,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N010-V1-DOC,N010-V1,Existing certificate; changed business/product details; supporting premises or entity documents,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N011-V1-DOC,N011-V1,Product and batch records; distribution traceability; recall action and effectiveness records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N012-V1-DOC,N012-V1,Entity/PAN/GST details; packaging category and quantity; process details; applicable consent,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N013-V1-DOC,N013-V1,Entity and product details; battery chemistry/quantities; recycling facility and consent records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N014-V1-DOC,N014-V1,Scheduled equipment category; quantity placed on market; entity and recycler records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N015-V1-DOC,N015-V1,Quantity and invoices; bill of lading where relevant; recycling output and certificate records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N016-V1-DOC,N016-V1,Oil category and quantities; entity particulars; relevant processing/consent records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N017-V1-DOC,N017-V1,Project and waste quantities; recycler particulars; utilisation and certificate records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N018-V1-DOC,N018-V1,Project report; site/location maps; prescribed application; environmental studies as required,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N019-V1-DOC,N019-V1,Land records; maps; diversion proposal; compensatory afforestation information,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N020-V1-DOC,N020-V1,Location and boundary maps; project details; studies and clearance records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N021-V1-DOC,N021-V1,Water requirement and source; borewell/site details; water balance; applicable studies,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N022-V1-DOC,N022-V1,Commercial invoice; packing list; transport document; origin and product permissions as applicable,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N023-V1-DOC,N023-V1,Invoice; packing list; shipping and scheme particulars; commodity permissions,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N024-V1-DOC,N024-V1,Issue/allotment details; foreign remittance and KYC; valuation; professional certifications as applicable,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N025-V1-DOC,N025-V1,Transfer agreement; consideration and valuation; buyer/seller residency; bank and KYC records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N026-V1-DOC,N026-V1,LLP agreement; valuation; remittance/KYC; contribution or transfer records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N027-V1-DOC,N027-V1,Startup eligibility; note agreement; remittance; holder and transfer details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N028-V1-DOC,N028-V1,Entity and premises particulars; product/packing details; authorisation and fee,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N029-V1-DOC,N029-V1,Label artwork; manufacturer/packer/importer particulars; quantity/MRP and consumer-care records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N030-V1-DOC,N030-V1,Model specifications; test reports where required; instrument and previous verification certificate,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N031-V1-DOC,N031-V1,Applicable IS standard; product and factory data; test reports and quality controls,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N032-V1-DOC,N032-V1,Test and production records; licence; quality-control records; samples as required,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N033-V1-DOC,N033-V1,Product and premises dossier; technical staff qualifications; test/manufacturing records as relevant,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N034-V1-DOC,N034-V1,Device classification; technical dossier; quality-system and facility evidence,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N035-V1-DOC,N035-V1,"Manufacturer authorisation; product, label and ingredient particulars; certificates as required",compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N036-V1-DOC,N036-V1,Site/layout plans; storage class/capacity; safety and competent-person records; district NOC where required,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N037-V1-DOC,N037-V1,Incident time/type; affected systems; available indicators; response contact and subsequent details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N038-V1-DOC,N038-V1,System logs; time synchronisation evidence; designated contact details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N039-V1-DOC,N039-V1,Data inventory; processing purposes; notices/consent records where operative; processor arrangements,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N040-V1-DOC,N040-V1,Vehicle registration; insurance; tax and fitness particulars; route/use details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N041-V1-DOC,N041-V1,Registration; prior fitness; vehicle and application particulars,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N042-V1-DOC,N042-V1,RF test report; product specifications; applicant/importer authorisation,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N043-V1-DOC,N043-V1,Entity particulars; proposed service/spectrum/equipment details; technical documents,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N044-V1-DOC,N044-V1,Mine location and ownership; manager/agent appointments; operational/safety particulars,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N045-V1-DOC,N045-V1,Product chemistry and efficacy/safety dossier; applicant and manufacturer information,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N046-V1-DOC,N046-V1,Commodity and consignment details; origin/destination; phytosanitary and treatment records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N047-V1-DOC,N047-V1,Entity and controller details; antecedent verification; training arrangements; prescribed affidavits,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N048-V1-DOC,N048-V1,Title and land particulars; approvals/plans; promoter/agent information; project and financial details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
N049-V1-DOC,N049-V1,Establishment classification; worker/wage history; applicable registrations; current employment policies,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-PB-PSDT-REG-V1-DOC,S-PB-PSDT-REG-V1,PAN upload; entity and applicant particulars; address/contact and employer details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-PB-PSDT-ELECT-V1-DOC,S-PB-PSDT-ELECT-V1,Election form; registration details; payment particulars,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-MH-PT-REG-V1-DOC,S-MH-PT-REG-V1,PAN and applicant/entity particulars; employment/business and address details as requested by current form,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-KA-PT-REG-V1-DOC,S-KA-PT-REG-V1,PAN and applicant/entity particulars; employment/business and address details as requested by current form,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-MN-PT-REG-V1-DOC,S-MN-PT-REG-V1,PAN and applicant/entity particulars; employment/business and address details as requested by current form,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-NL-PT-REG-V1-DOC,S-NL-PT-REG-V1,PAN and applicant/entity particulars; employment/business and address details as requested by current form,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-ML-PT-REG-V1-DOC,S-ML-PT-REG-V1,PAN and applicant/entity particulars; employment/business and address details as requested by current form,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-WB-PT-ENROL-V1-DOC,S-WB-PT-ENROL-V1,PAN; person/entity and business details; liability commencement information,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-WB-PT-RETURN-V1-DOC,S-WB-PT-RETURN-V1,Employee salary/tax deductions; payment details; registration particulars,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-TN-SHOPS-REG-V1-DOC,S-TN-SHOPS-REG-V1,PAN; establishment address evidence (GST/EB bill as form requires); trade licence; Tamil name-board photo; employer/worker details,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-AN-SHOPS-V1-DOC,S-AN-SHOPS-V1,Employer/entity and establishment particulars; current service checklist required,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-GA-LM-REG-V1-DOC,S-GA-LM-REG-V1,Entity and premises particulars; packing/product and authorisation records,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-LA-CTE-V1-DOC,S-LA-CTE-V1,Project/process; site and land evidence; emissions/effluent and control systems; supporting permissions,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-LA-CTO-V1-DOC,S-LA-CTO-V1,Project/process; site and land evidence; emissions/effluent and control systems; supporting permissions,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
S-ML-EXCISE-V1-DOC,S-ML-EXCISE-V1,Applicant/entity; premises and activity particulars; current excise checklist required,compound_checklist,indicative_checklist,Check the current form and exact applicant/activity before collecting documents,
