app_trigger_id,compliance_id,rule_id,match_method,confidence,reviewed,codex_name,app_name
it-sft,C062,C062-V1,token,1.0,yes,Form 61A (Statement of Financial Transactions - SFT),Statement of Financial Transactions (SFT)
it-notice-143,C106,C106-V1,token,0.625,yes,Income Tax Scrutiny Notice u/s 143(2)/142(1),Income Tax Notice Response (142/143/148)
it-books-sec44aa,C099,C099-V1,manual,0.9,yes,Statutory Books of Accounts (Companies Act),Maintenance of Books of Account (Sec 44AA)
tds-deposit,C053,C053-V1,manual,0.9,yes,TDS Deposit (Monthly Challan),TDS / TCS Deposit to Government
tds-24q,C054,C054-V1,form_code,1.0,yes,Quarterly salary TDS statement,Form 24Q Salary TDS Return
tds-26q,C055,C055-V1,form_code,1.0,yes,Quarterly resident non-salary TDS statement,Form 26Q Non-Salary TDS Return
tds-27q,C056,C056-V1,form_code,1.0,yes,Quarterly non-resident TDS statement,Form 27Q Foreign Remittance TDS Return
tds-form16,C058,C058-V1,manual,0.9,yes,Form 16 (Salary TDS Certificate),Form 16 Issuance to Employees
tds-form16a,C054,C054-V1,token,0.286,no,Quarterly salary TDS statement,Form 16A Quarterly TDS Certificates
tds-15ca-cb,C061,C061-V1,form_code,1.0,yes,Foreign remittance information / accountant certificate,Form 15CA / 15CB Foreign Remittance
epfo-registration,C063,C063-V1,manual,0.9,yes,EPF Registration,EPF Registration at 20 Employees
epfo-ecr,C031,C031-V1,alias_name,0.85,yes,Secretarial Audit (MR-3),EPF Monthly ECR & Contribution
epfo-joinee-exit,,,none,0.0,no,,EPF Joinee / Exit Intimation
esic-registration,C066,C066-V1,token,0.5,yes,ESIC Registration,ESIC Registration Threshold
esic-monthly,C067,C067-V1,token,0.75,yes,ESIC Monthly Contribution & Return,ESIC Monthly Contribution
esic-half-yearly,C066,C066-V1,alias_name,0.85,yes,ESIC Registration,ESIC Half-Yearly Return of Contributions
labour-shops-reg,S-TN-SHOPS-REG,S-TN-SHOPS-REG-V1,token,0.286,no,Tamil Nadu shops and establishments registration,Shops & Establishment Registration
labour-shops-renewal,S-AN-SHOPS,S-AN-SHOPS-V1,token,0.286,no,Andaman and Nicobar shops registration / renewal,Shops & Establishment Renewal
labour-lwf,C072,C072-V1,token,0.667,yes,Labour Welfare Fund Contribution,Labour Welfare Fund Contribution
labour-bonus,C071,C071-V1,token,0.5,yes,Payment of Gratuity Act Compliance,Payment of Bonus Act Compliance
labour-gratuity,C071,C071-V1,token,0.667,yes,Payment of Gratuity Act Compliance,Payment of Gratuity Act
labour-factory-licence,C086,C086-V1,manual,0.9,yes,Factory Licence,Factory Licence & Plan Approval
labour-min-wages,C073,C073-V1,token,0.6,yes,Minimum Wages Compliance & Registers,Minimum Wages Revision Compliance
labour-registers,C018,C018-V1,manual,0.9,yes,First Board Meeting & Statutory Registers,Statutory Wage & Muster Registers
posh-ic,C070,C070-V1,token,0.5,yes,POSH Internal Committee + Annual Report,POSH Internal Committee Constitution
posh-annual-report,C070,C070-V1,manual,0.9,yes,POSH Internal Committee + Annual Report,POSH Annual Report to District Officer
pt-ptec,C068,C068-V1,token,0.5,yes,Professional Tax Registration (PTRC/PTEC),Professional Tax Enrolment (PTEC)
pt-ptrc,C068,C068-V1,token,0.667,yes,Professional Tax Registration (PTRC/PTEC),Professional Tax Registration (PTRC) for Employers
pt-monthly-return,C069,C069-V1,manual,0.9,yes,Professional Tax Return Filing,Professional Tax Monthly / Annual Return
municipal-trade-licence,C084,C084-V1,manual,0.9,yes,Trade Licence (Municipal Corporation),Municipal Trade Licence / Certificate of Enlistment
municipal-trade-renewal,C087,C087-V1,token,0.4,no,Factory Licence Renewal,Trade Licence Annual Renewal
municipal-signage,,,none,0.0,no,,Outdoor Signage / Advertisement Tax
municipal-health-noc,C084,C084-V1,token,0.333,no,Trade Licence (Municipal Corporation),Municipal Health Trade NOC
spcb-cte,C088,C088-V1,token,0.75,yes,Consent to Establish (CTE),Consent to Establish (CTE)
spcb-cto,C089,C089-V1,token,0.75,yes,Consent to Operate (CTO),Consent to Operate (CTO) Renewal
spcb-form-v,C007,C007-V1,token,0.25,no,GSTR-9 (Annual Return),Annual Environmental Statement (Form V)
spcb-hazwaste,C090,C090-V1,token,0.5,yes,Hazardous Waste Authorization,Hazardous Waste Authorisation
fire-noc,C085,C085-V1,token,0.6,yes,Fire NOC (Fire Safety Certificate),Fire Safety NOC / Clearance
epr-plastic,N012,N012-V1,token,0.8,yes,Plastic packaging EPR registration,Plastic Packaging EPR Registration & Annual Return
fssai-basic-reg,C075,C075-V1,token,1.0,yes,FSSAI Basic Registration,FSSAI Basic Registration
fssai-state-licence,C076,C076-V1,token,1.0,yes,FSSAI State Licence,FSSAI State Licence
fssai-central-licence,C077,C077-V1,token,1.0,yes,FSSAI Central Licence,FSSAI Central Licence
fssai-renewal,C075,C075-V1,token,0.286,no,FSSAI Basic Registration,FSSAI Licence / Registration Renewal
fssai-form-d1,N009,N009-V1,token,0.333,no,FSSAI annual return — applicable manufacturers and importers,FSSAI Annual Return Form D1
dgft-iec,C078,C078-V1,manual,0.9,yes,IEC (Import Export Code),Importer Exporter Code (IEC)
dgft-iec-update,C079,C079-V1,manual,0.9,yes,IEC Annual Updation,IEC Annual Update / Confirmation
dgft-rcmc,C080,C080-V1,token,1.0,yes,RCMC (Registration-Cum-Membership Certificate),Registration-Cum-Membership Certificate (RCMC)
msme-udyam,C083,C083-V1,token,1.0,yes,MSME / Udyam Registration,Udyam / MSME Registration
msme-45day,,,none,0.0,no,,MSME Payment within 45 Days
lm-packaged,N028,N028-V1,manual,0.9,yes,Packaged-commodity manufacturer / packer / importer registration,Legal Metrology Packaged Commodity Registration
lm-weights,,,none,0.0,no,,Weights & Measures Verification
ip-trademark-renewal,C095,C095-V1,manual,0.9,yes,Trademark Renewal,Trademark Renewal (10-Year)
ip-opposition,IF013,IF013-V1,token,0.5,yes,Trademark examination-report response,Trademark Opposition / Examination Response
rbi-fcgpr,N024,N024-V1,token,0.571,yes,FDI share issue reporting — FC-GPR,FC-GPR Reporting of FDI Allotment
rbi-fla,IF001,IF001-V1,form_code,1.0,yes,Annual foreign liabilities and assets return,Annual FLA Return (Foreign Liabilities & Assets)
rbi-apr,,,none,0.0,no,,Overseas Investment Annual Performance Report (APR)
audit-statutory,C030,C030-V1,token,0.5,yes,Statutory Financial Audit,Statutory Audit under Companies Act
audit-secretarial,C031,C031-V1,token,0.6,yes,Secretarial Audit (MR-3),Secretarial Audit (Section 204)
acc-schedule-iii,,,none,0.0,no,,Schedule III Financial Statements
law-change-watch,,,none,0.0,no,,Regulatory Gazette / Law Change Watch
gst-gstr1a,,,none,0.0,no,,GSTR-1A Amendment Opportunity
gst-qrpm-optin,,,none,0.0,no,,QRMP Scheme Opt-in / Opt-out
it-form-3ce,C051,C051-V1,form_code,1.0,yes,Transfer Pricing Report (Form 3CEB),Transfer Pricing Accountant Report (Form 3CEB)
mca-aoc4-cfs,C020,C020-V1,manual,0.9,yes,AOC-4 (Financial Statements),AOC-4 CFS Consolidated Financial Statements
epfo-international-workers,,,none,0.0,no,,EPF International Workers Compliance
clra-licence,C074,C074-V1,manual,0.9,yes,Contract Labour Licence (Principal Employer & Contractor),CLRA Contractor Licence / Principal Employer RC
pt-first-employee,,,none,0.0,no,,First Employee PT Deduction Setup
